Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
SWE,17053003,30:05:2017,54233.568,15:03:53.568,-03,BeginEntry,,
SWE,17053003,30:05:2017,54237.017,15:03:57.017,-03,CompleteEntry,,
GBR,17053003,30:05:2017,54244.042,15:04:04.042,-03,BeginEntry,,
GBR,17053003,30:05:2017,54246.920,15:04:06.920,-03,CompleteEntry,,
GBR,17053003,30:05:2017,54324.546,15:05:24.546,-03,YFlag,,
GBR,17053003,30:05:2017,54328.792,15:05:28.792,-03,NoPenalty,,
,17053003,30:05:2017,54360.000,15:06:00.000,-03,RaceStarted,,
SWE,17053003,30:05:2017,54364.110,15:06:04.110,-03,BoatStarted,,
GBR,17053003,30:05:2017,54364.485,15:06:04.485,-03,BoatStarted,,
,17053003,30:05:2017,54398.783,15:06:38.783,-03,RaceChanged,,
GBR,17053003,30:05:2017,54406.005,15:06:46.005,-03,MarkRounding,1,
SWE,17053003,30:05:2017,54414.930,15:06:54.930,-03,MarkRounding,1,
GBR,17053003,30:05:2017,54527.915,15:08:47.915,-03,MarkRounding,2,
SWE,17053003,30:05:2017,54540.969,15:09:00.969,-03,MarkRounding,2,
SWE,17053003,30:05:2017,54832.496,15:13:52.496,-03,MarkRounding,3,
GBR,17053003,30:05:2017,54833.797,15:13:53.797,-03,MarkRounding,3,
GBR,17053003,30:05:2017,54988.013,15:16:28.013,-03,MarkRounding,4,
SWE,17053003,30:05:2017,55010.877,15:16:50.877,-03,MarkRounding,4,
,17053003,30:05:2017,55239.111,15:20:39.111,-03,RaceChanged,,
GBR,17053003,30:05:2017,55278.594,15:21:18.594,-03,MarkRounding,5,
SWE,17053003,30:05:2017,55296.079,15:21:36.079,-03,MarkRounding,5,
GBR,17053003,30:05:2017,55339.891,15:22:19.891,-03,MarkRounding,6,
SWE,17053003,30:05:2017,55361.880,15:22:41.880,-03,MarkRounding,6,
GBR,17053003,30:05:2017,55435.530,15:23:55.530,-03,CrossedFinish,,
GBR,17053003,30:05:2017,55435.530,15:23:55.530,-03,Finished,,
SWE,17053003,30:05:2017,55465.937,15:24:25.937,-03,CrossedFinish,,
SWE,17053003,30:05:2017,55465.937,15:24:25.937,-03,Finished,,
,17053003,30:05:2017,55472.149,15:24:32.149,-03,RaceTerminated,,
