Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
,17053001,30:05:2017,50880.000,14:08:00.000,-03,RaceStarted,,
NZL,17053001,30:05:2017,50880.237,14:08:00.237,-03,BoatStarted,,
SWE,17053001,30:05:2017,50880.614,14:08:00.614,-03,BoatStarted,,
,17053001,30:05:2017,50912.436,14:08:32.436,-03,RaceChanged,,
SWE,17053001,30:05:2017,50918.326,14:08:38.326,-03,MarkRounding,1,
NZL,17053001,30:05:2017,50921.642,14:08:41.642,-03,MarkRounding,1,
PRO,0,30:05:2017,50942.497,14:09:02.496,-03,Message,AllGroups,WG -
,17053001,30:05:2017,50945.591,14:09:05.591,-03,RaceChanged,,
,17053001,30:05:2017,50972.320,14:09:32.320,-03,RaceChanged,,
NZL,17053001,30:05:2017,51020.961,14:10:20.961,-03,YFlag,,
NZL,17053001,30:05:2017,51041.465,14:10:41.465,-03,NoPenalty,,
SWE,17053001,30:05:2017,51048.422,14:10:48.422,-03,MarkRounding,2,
NZL,17053001,30:05:2017,51057.529,14:10:57.529,-03,YFlag,,
NZL,17053001,30:05:2017,51068.725,14:11:08.725,-03,MarkRounding,2,
NZL,17053001,30:05:2017,51074.368,14:11:14.368,-03,NoPenalty,,
SWE,17053001,30:05:2017,51321.046,14:15:21.046,-03,MarkRounding,3,
NZL,17053001,30:05:2017,51325.951,14:15:25.951,-03,MarkRounding,3,
SWE,17053001,30:05:2017,51464.695,14:17:44.695,-03,MarkRounding,4,
NZL,17053001,30:05:2017,51475.744,14:17:55.744,-03,MarkRounding,4,
,17053001,30:05:2017,51707.630,14:21:47.630,-03,RaceChanged,,
NZL,17053001,30:05:2017,51712.136,14:21:52.136,-03,YFlag,,
NZL,17053001,30:05:2017,51722.620,14:22:02.620,-03,MarkRounding,5,
SWE,17053001,30:05:2017,51721.980,14:22:01.980,-03,Penalty44_2a,,
SWE,17053001,30:05:2017,51730.530,14:22:10.530,-03,MarkRounding,5,
SWE,17053001,30:05:2017,51733.837,14:22:13.837,-03,PenaltyCleared,,
NZL,17053001,30:05:2017,51769.066,14:22:49.066,-03,MarkRounding,6,
SWE,17053001,30:05:2017,51794.758,14:23:14.758,-03,MarkRounding,6,
NZL,17053001,30:05:2017,51867.574,14:24:27.574,-03,CrossedFinish,,
NZL,17053001,30:05:2017,51867.574,14:24:27.574,-03,Finished,,
SWE,17053001,30:05:2017,51958.525,14:25:58.525,-03,CrossedFinish,,
SWE,17053001,30:05:2017,51958.525,14:25:58.525,-03,Finished,,
,17053001,30:05:2017,51961.416,14:26:01.416,-03,RaceTerminated,,
,17053002,30:05:2017,51978.348,14:26:18.348,-03,RaceChanged,,
,17053002,30:05:2017,51978.368,14:26:18.367,-03,RaceStartTimeAnnounced,30:05:2017,14:37
