Date,Secs,LocalTime,Zone,Instant,Average
01:06:2017,55684.977,15:28:04.977,-03,5.98,7.85
01:06:2017,55685.477,15:28:05.477,-03,5.98,7.78
01:06:2017,55685.977,15:28:05.977,-03,5.98,7.71
01:06:2017,55686.477,15:28:06.477,-03,6.04,7.66
01:06:2017,55686.977,15:28:06.977,-03,6.04,7.60
01:06:2017,55687.477,15:28:07.477,-03,6.53,7.54
01:06:2017,55687.977,15:28:07.977,-03,6.53,7.48
01:06:2017,55688.477,15:28:08.477,-03,6.63,7.42
01:06:2017,55688.977,15:28:08.977,-03,6.63,7.37
01:06:2017,55689.478,15:28:09.478,-03,7.06,7.34
01:06:2017,55689.978,15:28:09.978,-03,7.06,7.30
01:06:2017,55690.478,15:28:10.478,-03,6.86,7.26
01:06:2017,55690.978,15:28:10.978,-03,6.86,7.21
01:06:2017,55691.478,15:28:11.478,-03,7.35,7.18
01:06:2017,55691.978,15:28:11.978,-03,7.35,7.15
01:06:2017,55692.478,15:28:12.478,-03,7.22,7.11
01:06:2017,55692.978,15:28:12.978,-03,7.22,7.08
01:06:2017,55693.478,15:28:13.478,-03,6.83,7.04
01:06:2017,55693.978,15:28:13.978,-03,6.83,7.01
01:06:2017,55694.478,15:28:14.478,-03,7.13,6.98
01:06:2017,55694.978,15:28:14.978,-03,7.13,6.96
01:06:2017,55695.478,15:28:15.478,-03,6.80,6.91
01:06:2017,55695.978,15:28:15.978,-03,6.80,6.86
01:06:2017,55696.478,15:28:16.478,-03,6.91,6.85
01:06:2017,55696.978,15:28:16.978,-03,6.91,6.84
01:06:2017,55697.478,15:28:17.478,-03,6.85,6.80
01:06:2017,55697.978,15:28:17.978,-03,6.85,6.76
01:06:2017,55698.478,15:28:18.478,-03,6.76,6.75
01:06:2017,55698.979,15:28:18.979,-03,6.76,6.74
01:06:2017,55699.479,15:28:19.479,-03,7.09,6.73
01:06:2017,55699.979,15:28:19.979,-03,7.09,6.72
01:06:2017,55700.479,15:28:20.479,-03,6.91,6.72
01:06:2017,55700.979,15:28:20.979,-03,6.91,6.72
01:06:2017,55701.479,15:28:21.479,-03,6.81,6.73
01:06:2017,55701.979,15:28:21.979,-03,6.81,6.73
01:06:2017,55702.479,15:28:22.479,-03,6.32,6.72
01:06:2017,55702.979,15:28:22.979,-03,6.32,6.71
01:06:2017,55703.479,15:28:23.479,-03,6.70,6.71
01:06:2017,55703.979,15:28:23.979,-03,6.70,6.72
01:06:2017,55704.479,15:28:24.479,-03,6.13,6.69
01:06:2017,55704.979,15:28:24.979,-03,6.13,6.67
01:06:2017,55705.479,15:28:25.479,-03,6.45,6.68
01:06:2017,55705.979,15:28:25.979,-03,6.45,6.69
01:06:2017,55706.479,15:28:26.479,-03,5.46,6.66
01:06:2017,55706.979,15:28:26.979,-03,5.46,6.63
01:06:2017,55707.479,15:28:27.479,-03,6.53,6.61
01:06:2017,55707.979,15:28:27.979,-03,6.53,6.60
01:06:2017,55708.480,15:28:28.480,-03,6.25,6.60
01:06:2017,55708.980,15:28:28.980,-03,6.25,6.59
01:06:2017,55709.480,15:28:29.480,-03,6.50,6.58
01:06:2017,55709.980,15:28:29.980,-03,6.50,6.57
01:06:2017,55710.480,15:28:30.480,-03,6.86,6.59
01:06:2017,55710.980,15:28:30.980,-03,6.86,6.61
01:06:2017,55711.480,15:28:31.480,-03,6.35,6.61
01:06:2017,55711.980,15:28:31.980,-03,6.35,6.61
01:06:2017,55712.480,15:28:32.480,-03,6.63,6.61
01:06:2017,55712.980,15:28:32.980,-03,6.63,6.61
01:06:2017,55713.480,15:28:33.480,-03,6.55,6.61
01:06:2017,55713.980,15:28:33.980,-03,6.55,6.62
01:06:2017,55714.480,15:28:34.480,-03,6.64,6.63
01:06:2017,55714.980,15:28:34.980,-03,6.64,6.64
01:06:2017,55715.480,15:28:35.480,-03,6.29,6.64
01:06:2017,55715.980,15:28:35.980,-03,6.29,6.65
01:06:2017,55716.480,15:28:36.480,-03,6.54,6.66
01:06:2017,55716.980,15:28:36.980,-03,6.54,6.66
01:06:2017,55717.480,15:28:37.480,-03,6.90,6.67
01:06:2017,55717.981,15:28:37.981,-03,6.90,6.68
01:06:2017,55718.481,15:28:38.481,-03,6.53,6.68
01:06:2017,55718.981,15:28:38.981,-03,6.53,6.67
01:06:2017,55719.481,15:28:39.481,-03,6.56,6.66
01:06:2017,55719.981,15:28:39.981,-03,6.56,6.66
01:06:2017,55720.481,15:28:40.481,-03,7.18,6.66
01:06:2017,55720.981,15:28:40.981,-03,7.18,6.67
01:06:2017,55721.481,15:28:41.481,-03,6.18,6.65
01:06:2017,55721.981,15:28:41.981,-03,6.18,6.63
01:06:2017,55722.481,15:28:42.481,-03,7.13,6.63
01:06:2017,55722.981,15:28:42.981,-03,7.13,6.63
01:06:2017,55723.481,15:28:43.481,-03,5.51,6.60
01:06:2017,55723.981,15:28:43.981,-03,5.51,6.58
01:06:2017,55724.481,15:28:44.481,-03,6.95,6.58
01:06:2017,55724.981,15:28:44.981,-03,6.95,6.58
01:06:2017,55725.481,15:28:45.481,-03,5.62,6.56
01:06:2017,55725.981,15:28:45.981,-03,5.62,6.54
01:06:2017,55726.481,15:28:46.481,-03,6.01,6.52
01:06:2017,55726.981,15:28:46.981,-03,6.01,6.51
01:06:2017,55727.482,15:28:47.482,-03,7.17,6.51
01:06:2017,55727.982,15:28:47.982,-03,7.17,6.52
01:06:2017,55728.482,15:28:48.482,-03,6.89,6.52
01:06:2017,55728.982,15:28:48.982,-03,6.89,6.52
01:06:2017,55729.482,15:28:49.482,-03,7.65,6.53
01:06:2017,55729.982,15:28:49.982,-03,7.65,6.54
01:06:2017,55730.482,15:28:50.482,-03,7.03,6.54
01:06:2017,55730.982,15:28:50.982,-03,7.03,6.54
01:06:2017,55731.482,15:28:51.482,-03,6.52,6.54
01:06:2017,55731.982,15:28:51.982,-03,6.52,6.53
01:06:2017,55732.482,15:28:52.482,-03,7.74,6.56
01:06:2017,55732.982,15:28:52.982,-03,7.74,6.58
01:06:2017,55733.482,15:28:53.482,-03,7.74,6.60
01:06:2017,55733.982,15:28:53.982,-03,7.74,6.62
01:06:2017,55734.482,15:28:54.482,-03,9.00,6.66
01:06:2017,55734.982,15:28:54.982,-03,9.00,6.71
01:06:2017,55735.482,15:28:55.482,-03,8.56,6.75
01:06:2017,55735.982,15:28:55.982,-03,8.56,6.78
01:06:2017,55736.482,15:28:56.482,-03,8.94,6.84
01:06:2017,55736.983,15:28:56.983,-03,8.94,6.90
01:06:2017,55737.483,15:28:57.483,-03,8.38,6.93
01:06:2017,55737.983,15:28:57.983,-03,8.38,6.96
01:06:2017,55738.483,15:28:58.483,-03,8.39,7.00
01:06:2017,55738.983,15:28:58.983,-03,8.39,7.03
01:06:2017,55739.483,15:28:59.483,-03,8.79,7.07
01:06:2017,55739.983,15:28:59.983,-03,8.79,7.11
01:06:2017,55740.483,15:29:00.483,-03,8.11,7.13
01:06:2017,55740.983,15:29:00.983,-03,8.11,7.15
01:06:2017,55741.483,15:29:01.483,-03,8.29,7.18
01:06:2017,55741.983,15:29:01.983,-03,8.29,7.21
01:06:2017,55742.483,15:29:02.483,-03,8.32,7.24
01:06:2017,55742.983,15:29:02.983,-03,8.32,7.27
01:06:2017,55743.483,15:29:03.483,-03,8.65,7.31
01:06:2017,55743.983,15:29:03.983,-03,8.65,7.34
01:06:2017,55744.483,15:29:04.483,-03,8.05,7.36
01:06:2017,55744.983,15:29:04.983,-03,8.05,7.39
01:06:2017,55745.483,15:29:05.483,-03,8.09,7.42
01:06:2017,55745.983,15:29:05.983,-03,8.09,7.45
01:06:2017,55746.484,15:29:06.484,-03,8.29,7.48
01:06:2017,55746.984,15:29:06.984,-03,8.29,7.51
01:06:2017,55747.484,15:29:07.484,-03,7.78,7.52
01:06:2017,55747.984,15:29:07.984,-03,7.78,7.54
01:06:2017,55748.484,15:29:08.484,-03,8.13,7.56
01:06:2017,55748.984,15:29:08.984,-03,8.13,7.59
01:06:2017,55749.484,15:29:09.484,-03,8.09,7.61
01:06:2017,55749.984,15:29:09.984,-03,8.09,7.64
01:06:2017,55750.484,15:29:10.484,-03,8.42,7.66
01:06:2017,55750.984,15:29:10.984,-03,8.42,7.68
01:06:2017,55751.484,15:29:11.484,-03,7.34,7.70
01:06:2017,55751.984,15:29:11.984,-03,7.34,7.72
01:06:2017,55752.484,15:29:12.484,-03,8.52,7.74
01:06:2017,55752.984,15:29:12.984,-03,8.52,7.77
01:06:2017,55753.484,15:29:13.484,-03,7.64,7.80
01:06:2017,55753.984,15:29:13.984,-03,7.64,7.84
01:06:2017,55754.484,15:29:14.484,-03,7.93,7.85
01:06:2017,55754.984,15:29:14.984,-03,7.93,7.87
01:06:2017,55755.484,15:29:15.484,-03,7.34,7.90
01:06:2017,55755.985,15:29:15.985,-03,7.34,7.93
01:06:2017,55756.485,15:29:16.485,-03,7.75,7.96
01:06:2017,55756.985,15:29:16.985,-03,7.75,7.98
01:06:2017,55757.485,15:29:17.485,-03,7.65,7.99
01:06:2017,55757.985,15:29:17.985,-03,7.65,8.00
01:06:2017,55758.485,15:29:18.485,-03,8.03,8.02
01:06:2017,55758.985,15:29:18.985,-03,8.03,8.04
01:06:2017,55759.485,15:29:19.485,-03,7.36,8.03
01:06:2017,55759.985,15:29:19.985,-03,7.36,8.03
01:06:2017,55760.485,15:29:20.485,-03,7.36,8.03
01:06:2017,55760.985,15:29:20.985,-03,7.36,8.04
01:06:2017,55761.485,15:29:21.485,-03,7.13,8.05
01:06:2017,55761.985,15:29:21.985,-03,7.13,8.06
01:06:2017,55762.485,15:29:22.485,-03,6.94,8.05
01:06:2017,55762.985,15:29:22.985,-03,6.94,8.03
01:06:2017,55763.485,15:29:23.485,-03,7.17,8.02
01:06:2017,55763.985,15:29:23.985,-03,7.17,8.01
01:06:2017,55764.485,15:29:24.485,-03,6.41,7.97
01:06:2017,55764.985,15:29:24.985,-03,6.41,7.93
01:06:2017,55765.486,15:29:25.486,-03,7.11,7.90
01:06:2017,55765.986,15:29:25.986,-03,7.11,7.88
01:06:2017,55766.486,15:29:26.486,-03,6.57,7.84
