Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
,17052901,01:05:2017,52380.000,14:33:00.000,-03,RaceStarted,,
,17052901,01:05:2017,52380.000,14:33:00.000,-03,RaceStarted,,
GBR,17052913,29:05:2017,50751.803,14:05:51.803,-03,BeginEntry,,
GBR,17052913,29:05:2017,50753.804,14:05:53.804,-03,CompleteEntry,,
FRA,17052913,29:05:2017,50765.244,14:06:05.244,-03,BeginEntry,,
FRA,17052913,29:05:2017,50767.815,14:06:07.815,-03,CompleteEntry,,
,17052913,29:05:2017,50880.000,14:08:00.000,-03,RaceStarted,,
GBR,17052913,29:05:2017,50890.567,14:08:10.567,-03,BoatStarted,,
FRA,17052913,29:05:2017,50898.730,14:08:18.730,-03,BoatStarted,,
GBR,17052913,29:05:2017,50931.713,14:08:51.713,-03,MarkRounding,1,
,17052913,29:05:2017,50934.324,14:08:54.324,-03,RaceChanged,,
FRA,17052913,29:05:2017,50943.139,14:09:03.139,-03,MarkRounding,1,
GBR,17052913,29:05:2017,51015.568,14:10:15.568,-03,MarkRounding,2,
FRA,17052913,29:05:2017,51030.488,14:10:30.488,-03,MarkRounding,2,
GBR,17052913,29:05:2017,51308.215,14:15:08.215,-03,MarkRounding,3,
FRA,17052913,29:05:2017,51308.557,14:15:08.557,-03,MarkRounding,3,
FRA,17052913,29:05:2017,51465.251,14:17:45.251,-03,MarkRounding,4,
GBR,17052913,29:05:2017,51475.153,14:17:55.153,-03,MarkRounding,4,
,17052913,29:05:2017,51684.100,14:21:24.100,-03,RaceChanged,,
FRA,17052913,29:05:2017,51732.971,14:22:12.971,-03,MarkRounding,5,
GBR,17052913,29:05:2017,51785.858,14:23:05.858,-03,MarkRounding,5,
GBR,17052913,29:05:2017,51951.917,14:25:51.917,-03,MarkRounding,6,
FRA,17052913,29:05:2017,52005.777,14:26:45.777,-03,CrossedFinish,,
FRA,17052913,29:05:2017,52005.777,14:26:45.777,-03,Finished,,
GBR,17052913,29:05:2017,52058.176,14:27:38.176,-03,CrossedFinish,,
GBR,17052913,29:05:2017,52058.176,14:27:38.176,-03,Finished,,
,17052913,29:05:2017,52063.684,14:27:43.684,-03,RaceTerminated,,
