Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
FRA,17052915,29:05:2017,54232.333,15:03:52.333,-03,BeginEntry,,
FRA,17052915,29:05:2017,54234.578,15:03:54.578,-03,CompleteEntry,,
JPN,17052915,29:05:2017,54244.198,15:04:04.198,-03,BeginEntry,,
JPN,17052915,29:05:2017,54246.526,15:04:06.526,-03,CompleteEntry,,
,17052915,29:05:2017,54360.000,15:06:00.000,-03,RaceStarted,,
FRA,17052915,29:05:2017,54361.389,15:06:01.389,-03,BoatStarted,,
JPN,17052915,29:05:2017,54361.258,15:06:01.258,-03,BoatStarted,,
,17052915,29:05:2017,54393.136,15:06:33.136,-03,RaceChanged,,
JPN,17052915,29:05:2017,54398.202,15:06:38.202,-03,MarkRounding,1,
FRA,17052915,29:05:2017,54403.762,15:06:43.762,-03,MarkRounding,1,
SWE,0,29:05:2017,54442.017,15:07:22.017,-03,BFlag,,
JPN,17052915,29:05:2017,54479.420,15:07:59.420,-03,MarkRounding,2,
FRA,17052915,29:05:2017,54486.666,15:08:06.666,-03,MarkRounding,2,
JPN,17052915,29:05:2017,54740.787,15:12:20.787,-03,MarkRounding,3,
FRA,17052915,29:05:2017,54784.850,15:13:04.850,-03,MarkRounding,3,
,17052915,29:05:2017,54890.528,15:14:50.528,-03,RaceChanged,,
JPN,17052915,29:05:2017,54893.233,15:14:53.233,-03,MarkRounding,4,
,17052915,29:05:2017,54912.324,15:15:12.324,-03,RaceChanged,,
PRO,0,29:05:2017,54915.054,15:15:15.054,-03,Message,AllGroups,WG +
FRA,17052915,29:05:2017,54989.196,15:16:29.196,-03,MarkRounding,4,
,17052915,29:05:2017,55043.299,15:17:23.299,-03,RaceChanged,,
JPN,17052915,29:05:2017,55173.200,15:19:33.200,-03,MarkRounding,5,
FRA,17052915,29:05:2017,55285.653,15:21:25.653,-03,MarkRounding,5,
JPN,17052915,29:05:2017,55329.967,15:22:09.967,-03,MarkRounding,6,
JPN,17052915,29:05:2017,55430.051,15:23:50.051,-03,CrossedFinish,,
JPN,17052915,29:05:2017,55430.051,15:23:50.051,-03,Finished,,
FRA,17052915,29:05:2017,55463.219,15:24:23.219,-03,MarkRounding,6,
FRA,17052915,29:05:2017,55583.665,15:26:23.665,-03,CrossedFinish,,
FRA,17052915,29:05:2017,55583.665,15:26:23.665,-03,Finished,,
,17052915,29:05:2017,55588.036,15:26:28.036,-03,RaceTerminated,,
