timestamp,ETNZ | ACEA.ETNZ.SOG,JAPAN | ACEA.JAPAN.SOG,
54365.806,24.2397408207343,27.7580993520518,
54366.106,24.4924406047516,28.2246220302376,
54366.405,24.9006479481641,28.4773218142549,
54366.606,25.1922246220302,28.7883369330454,
54366.906,25.4838012958963,28.9827213822894,
54367.106,25.7365010799136,29.2548596112311,
54367.405,26.2030237580994,29.7602591792657,
54367.606,26.3585313174946,30.1295896328294,
54367.906,26.6112311015119,30.4600431965443,
54368.106,26.8639308855292,30.4600431965443,
54368.406,27.1166306695464,30.8488120950324,
54368.706,27.6414686825054,31.0431965442765,
54369.006,27.8747300215983,31.548596112311,
54369.206,27.9330453563715,31.7624190064795,
54369.506,28.2829373650108,31.8790496760259,
54369.706,28.6717062634989,32.2289416846652,
54369.906,28.9244060475162,32.2289416846652,
54370.106,28.8855291576674,32.2289416846652,
54370.407,28.8077753779698,32.2872570194384,
54370.705,28.866090712743,32.4816414686825,
54371.005,29.060475161987,32.889848812095,
54371.206,29.2354211663067,33.1036717062635,
54371.505,29.3520518358531,33.5313174946004,
54371.705,29.5658747300216,33.7645788336933,
54372.005,30.0907127429806,33.9784017278618,
54372.205,30.4017278617711,34.2699784017279,
54372.406,30.6155507559395,34.561555075594,
54372.706,31.0820734341253,34.9114470842333,
54373.006,31.7429805615551,35.183585313175,
54373.305,32.1123110151188,35.4362850971922,
54373.505,32.267818574514,35.9611231101512,
54373.706,32.5788336933045,35.9611231101512,
54374.006,33.0453563714903,36.3693304535637,
54374.206,33.2008639308855,36.6414686825054,
54374.406,33.317494600432,36.9330453563715,
54374.706,33.5507559395248,37.2634989200864,
54375.007,34.2894168466523,37.6522678185745,
54375.306,34.6976241900648,38.1771058315335,
54375.606,35.3974082073434,38.9546436285097,
54375.906,35.6501079913607,39.304535637149,
54376.106,36.1360691144708,39.304535637149,
54376.405,36.6609071274298,39.5961123110151,
54376.605,36.8164146868251,39.6349892008639,
54376.906,36.9719222462203,39.7904967602592,
54377.106,37.0691144708423,40.0043196544276,
54377.307,37.2051835853132,40.2764578833693,
54377.605,37.2051835853132,40.2764578833693,
54377.906,37.2051835853132,40.2764578833693,
54378.106,37.2051835853132,40.6652267818574,
54378.406,38.488120950324,41.1123110151188,
54378.606,38.4686825053996,41.2483801295896,
54378.905,38.3326133909287,41.5788336933045,
54379.206,38.585313174946,41.5205183585313,
54379.406,38.8380129589633,41.5593952483801,
54379.607,39.0518358531317,41.5010799136069,
54379.905,39.0323974082073,41.1511879049676,
54380.105,39.0712742980562,40.9762419006479,
54380.306,39.0518358531317,40.9762419006479,
54380.606,39.2267818574514,40.9568034557235,
54380.906,39.1879049676026,40.8984881209503,
54381.205,38.9352051835853,40.7624190064795,
54381.406,38.682505399568,40.6263498920086,
54381.606,38.6241900647948,40.5291576673866,
54381.907,38.6241900647948,40.3930885529158,
54382.206,38.6047516198704,40.3736501079914,
54382.505,38.585313174946,40.3736501079914,
54382.806,38.6630669546436,40.1598272138229,
54383.106,38.5658747300216,39.9848812095032,
54383.405,38.5464362850972,39.7904967602592,
54383.606,38.5075593952484,39.8876889848812,
54383.905,38.4298056155508,40.0043196544276,
54384.106,38.3520518358531,40.0043196544276,
54384.306,38.3326133909287,40.0043196544276,
54384.606,38.1965442764579,39.7516198704104,
54384.905,38.1382289416847,39.7710583153348,
54385.106,37.9049676025918,39.7127429805616,
54385.405,37.7105831533477,39.6349892008639,
54385.605,37.6717062634989,39.5377969762419,
54385.906,37.7105831533477,39.4794816414687,
54386.106,37.6522678185745,39.2267818574514,
54386.405,37.6717062634989,39.1684665226782,
54386.606,37.7105831533477,39.1295896328294,
54386.906,37.6717062634989,39.110151187905,
54387.106,37.5939524838013,39.1490280777538,
54387.405,37.341252699784,39.1295896328294,
54387.611,37.1079913606911,39.110151187905,
54387.905,37.0496760259179,38.9740820734341,
54388.106,37.1857451403888,38.5658747300216,
54388.306,37.3023758099352,38.5658747300216,
54388.605,37.3023758099352,38.5269978401728,
54388.806,37.1274298056155,38.5269978401728,
54389.105,36.9719222462203,38.4103671706264,
54389.405,36.7386609071274,38.4686825053996,
54389.706,36.5831533477322,38.4686825053996,
54389.906,36.4859611231102,38.5464362850972,
54390.205,36.2526997840173,38.5075593952484,
54390.405,36.2526997840173,38.4686825053996,
54390.706,36.1555075593952,38.4103671706264,
54391.006,36.0194384449244,38.4103671706264,
54391.207,36.0583153347732,38.2742980561555,
54391.506,35.9416846652268,38.1187904967603,
54391.706,35.8639308855292,38.1187904967603,
54391.906,35.7473002159827,38.2159827213823,
54392.206,35.6306695464363,38.2742980561555,
54392.505,35.6695464362851,38.2159827213823,
54392.706,35.7278617710583,38.2159827213823,
54393.006,35.6889848812095,38.060475161987,
54393.306,35.6501079913607,37.866090712743,
54393.507,35.5723542116631,37.8272138228942,
54393.805,35.5917926565875,37.8466522678186,
54394.006,35.7473002159827,37.8855291576674,
54394.305,35.8639308855292,37.8855291576674,
54394.506,35.902807775378,37.7494600431965,
54394.805,35.6501079913607,37.6717062634989,
54395.105,35.6112311015119,37.6522678185745,
54395.406,35.4362850971922,37.5939524838013,
54395.705,35.475161987041,37.5939524838013,
54396.005,35.6112311015119,37.7105831533477,
54396.206,35.7473002159827,37.6911447084233,
54396.505,35.7473002159827,37.7105831533477,
54396.806,35.5529157667387,37.5356371490281,
54397.106,35.475161987041,37.3606911447084,
54397.405,35.3585313174946,37.2634989200864,
54397.705,35.3196544276458,37.244060475162,
54397.905,35.2613390928726,37.2051835853132,
54398.107,35.2224622030238,37.2051835853132,
