timestamp,ETNZ | ACEA.ETNZ.SOG,ORACLE | ACEA.ORACLE.SOG,
57873.295,16.6781857451404,16.8920086393089,
57873.595,16.7753779697624,17.0863930885529,
57873.795,16.8725701943844,17.280777537797,
57874.095,16.9892008639309,17.5140388768898,
57874.395,17.1641468682505,17.9611231101512,
57874.695,17.2419006479482,18.2526997840173,
57874.9,17.3585313174946,18.4082073434125,
57875.195,17.4168466522678,18.5442764578834,
57875.395,17.4557235421166,18.7580993520518,
57875.695,17.475161987041,19.3801295896328,
57875.995,17.5917926565875,19.6717062634989,
57876.195,17.6501079913607,19.9244060475162,
57876.495,18.0777537796976,20.1965442764579,
57876.795,18.1943844492441,20.2354211663067,
57877.095,18.4859611231102,20.2742980561555,
57877.396,18.6025917926566,20.3326133909287,
57877.695,18.8164146868251,20.6241900647948,
57877.995,19.0107991360691,20.7019438444924,
57878.195,19.0885529157667,20.7991360691145,
57878.495,19.2634989200864,20.8963282937365,
57878.795,19.341252699784,21.0712742980562,
57879.095,19.5550755939525,21.2462203023758,
57879.295,19.6911447084233,21.2850971922246,
57879.595,19.7688984881209,21.3239740820734,
57879.895,19.9827213822894,21.3628509719222,
57880.195,20.2159827213823,21.4600431965443,
57880.395,20.3520518358531,21.4600431965443,
57880.695,20.6047516198704,21.7127429805616,
57880.895,20.7796976241901,21.829373650108,
57881.194,20.8963282937365,21.9071274298056,
57881.395,21.0323974082073,21.9654427645788,
57881.695,21.2850971922246,22.0431965442765,
57881.895,21.4600431965443,22.3153347732181,
57882.195,21.8099352051836,22.451403887689,
57882.395,21.9848812095032,22.4902807775378,
57882.695,22.1403887688985,22.645788336933,
57882.995,22.2764578833693,22.645788336933,
57883.195,22.3736501079914,22.7041036717063,
57883.395,22.3736501079914,22.6846652267819,
57883.695,22.3347732181425,22.7041036717063,
57883.995,22.354211663067,22.7818574514039,
57884.296,22.354211663067,23.1123110151188,
57884.595,22.451403887689,23.3455723542117,
57884.895,22.5291576673866,23.5399568034557,
57885.195,22.548596112311,23.6760259179266,
57885.495,22.5874730021598,23.7537796976242,
57885.695,22.5291576673866,23.9481641468683,
57885.995,22.451403887689,24.414686825054,
57886.295,22.2181425485961,24.4924406047516,
57886.596,22.1209503239741,24.4341252699784,
57886.894,21.9460043196544,24.5507559395248,
57887.194,21.8099352051836,24.5896328293736,
57887.395,21.6544276457883,24.5896328293736,
57887.595,21.5377969762419,24.5896328293736,
57887.895,21.3822894168467,24.7257019438445,
57888.195,21.3822894168467,24.8034557235421,
57888.395,21.3822894168467,24.8617710583153,
57888.695,21.4211663066955,24.7645788336933,
57888.896,21.4017278617711,24.6673866090713,
57889.195,21.3628509719222,24.5896328293736,
57889.395,21.2462203023758,24.5701943844492,
57889.595,21.2850971922246,24.6285097192225,
57889.895,21.3628509719222,24.7451403887689,
57890.095,21.5183585313175,24.8812095032397,
57890.395,21.4989200863931,24.939524838013,
57890.694,21.4989200863931,24.7840172786177,
57890.895,21.3822894168467,24.5896328293736,
57891.096,21.2656587473002,24.3952483801296,
57891.395,21.1684665226782,24.2397408207343,
57891.695,21.1684665226782,24.1231101511879,
57891.995,21.0907127429806,24.0453563714903,
57892.195,20.9546436285097,23.9870410367171,
57892.395,20.7991360691145,23.8509719222462,
57892.695,20.5658747300216,23.6177105831533,
57892.995,20.4492440604752,23.4233261339093,
57893.298,20.1382289416847,22.8790496760259,
57893.595,20.0410367170626,22.5680345572354,
57893.795,19.9438444924406,22.4125269978402,
57894.095,19.6522678185745,22.2375809935205,
57894.395,19.438444924406,22.0431965442765,
57894.595,19.2829373650108,21.9071274298056,
57894.895,18.8552915766739,21.6349892008639,
57895.095,18.6803455723542,21.4794816414687,
57895.395,18.524838012959,21.3628509719222,
57895.696,18.4859611231102,21.3822894168467,
57895.995,18.524838012959,21.4406047516199,
57896.195,18.5831533477322,21.4989200863931,
57896.495,18.719222462203,21.5572354211663,
57896.695,18.7775377969762,21.5961123110151,
57896.997,18.9136069114471,21.6155507559395,
57897.295,18.9524838012959,21.8876889848812,
57897.596,19.0302375809935,22.1403887688985,
57897.895,19.2829373650108,22.6652267818575,
57898.195,19.5356371490281,22.8984881209503,
57898.395,19.7688984881209,23.0539956803456,
57898.695,20.4298056155508,23.5399568034557,
57898.895,20.8574514038877,23.8704103671706,
57899.095,21.2267818574514,24.1231101511879,
57899.395,21.8682505399568,24.3369330453564,
57899.595,21.8682505399568,24.6479481641469,
57899.795,22.0626349892009,24.9784017278618,
57900.095,22.5097192224622,25.5421166306695,
57900.296,22.7041036717063,25.8336933045356,
57900.595,22.7818574514039,26.0669546436285,
57900.795,22.9179265658747,26.3002159827214,
57901.094,23.3650107991361,26.9222462203024,
57901.295,23.7732181425486,27.1360691144708,
57901.595,24.1231101511879,27.2721382289417,
57901.795,24.9200863930886,27.3693304535637,
57902.095,25.3477321814255,27.4470842332613,
57902.295,25.6976241900648,27.5831533477322,
57902.596,26.1058315334773,27.7580993520518,
57902.894,26.5529157667387,28.4578833693305,
57903.095,26.6306695464363,28.8855291576674,
57903.394,27,29.2548596112311,
57903.594,27,29.3714902807775,
57903.795,27.2138228941685,29.3714902807775,
57903.995,27.5442764578834,29.4103671706264,
57904.296,27.9913606911447,29.7991360691145,
57904.595,28.1857451403888,30.0129589632829,
57904.795,28.3801295896328,30.2850971922246,
57905.095,28.6328293736501,31.0626349892009,
57905.395,29.0410367170626,31.4708423326134,
57905.695,29.6047516198704,31.8207343412527,
57905.895,29.9935205183585,31.8596112311015,
57906.195,30.2267818574514,31.9568034557235,
57906.495,30.5183585313175,32.5399568034557,
57906.795,30.7516198704104,32.9287257019438,
57907.095,30.92656587473,33.1814254859611,
57907.395,31.3153347732181,33.4730021598272,
57907.595,31.5097192224622,33.5896328293737,
57907.895,31.5874730021598,33.7645788336933,
57908.195,31.645788336933,33.7645788336933,
57908.495,31.7021598272138,33.8812095032397,
57908.795,31.8790496760259,33.8812095032397,
57909.095,32.2483801295896,33.8034557235421,
57909.295,32.3650107991361,33.8423326133909,
57909.496,32.4233261339093,33.8034557235421,
57909.794,32.5205183585313,33.8228941684665,
57909.994,32.7343412526998,33.9978401727862,
57910.195,32.8315334773218,34.0561555075594,
57910.495,32.9481641468683,33.9978401727862,
57910.795,33.0259179265659,33.8812095032397,
57911.095,33.3758099352052,33.8812095032397,
57911.394,33.5507559395248,34.036717062635,
57911.595,33.7062634989201,34.1533477321814,
57911.796,33.8423326133909,34.2116630669546,
57912.095,34.2699784017279,34.5421166306695,
