Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
NZL,17052705,27:05:2017,57771.759,16:02:51.759,-03,BeginEntry,,
NZL,17052705,27:05:2017,57774.443,16:02:54.443,-03,CompleteEntry,,
USA,17052705,27:05:2017,57792.428,16:03:12.428,-03,BeginEntry,,
USA,17052705,27:05:2017,57796.441,16:03:16.441,-03,CompleteEntry,,
,17052705,27:05:2017,57900.000,16:05:00.000,-03,RaceStarted,,
NZL,17052705,27:05:2017,57901.668,16:05:01.668,-03,BoatStarted,,
USA,17052705,27:05:2017,57901.704,16:05:01.704,-03,BoatStarted,,
,17052705,27:05:2017,57935.790,16:05:35.790,-03,RaceChanged,,
USA,17052705,27:05:2017,57942.113,16:05:42.113,-03,MarkRounding,1,
NZL,17052705,27:05:2017,57944.176,16:05:44.176,-03,MarkRounding,1,
USA,17052705,27:05:2017,58013.130,16:06:53.130,-03,MarkRounding,2,
NZL,17052705,27:05:2017,58018.400,16:06:58.400,-03,MarkRounding,2,
NZL,17052705,27:05:2017,58290.298,16:11:30.298,-03,MarkRounding,3,
USA,17052705,27:05:2017,58310.441,16:11:50.441,-03,MarkRounding,3,
NZL,17052705,27:05:2017,58457.934,16:14:17.934,-03,MarkRounding,4,
USA,17052705,27:05:2017,58477.630,16:14:37.630,-03,MarkRounding,4,
,17052705,27:05:2017,58661.872,16:17:41.872,-03,RaceChanged,,
USA,17052705,27:05:2017,58729.784,16:18:49.784,-03,YFlag,,
NZL,17052705,27:05:2017,58734.387,16:18:54.387,-03,YFlag,,
USA,17052705,27:05:2017,58737.145,16:18:57.145,-03,MarkRounding,5,
USA,17052705,27:05:2017,58740.340,16:19:00.340,-03,NoPenalty,,
NZL,17052705,27:05:2017,58744.077,16:19:04.077,-03,MarkRounding,5,
NZL,17052705,27:05:2017,58764.747,16:19:24.747,-03,YFlag,,
NZL,17052705,27:05:2017,58767.322,16:19:27.322,-03,NoPenalty,,
NZL,17052705,27:05:2017,58770.105,16:19:30.105,-03,NoPenalty,,
USA,17052705,27:05:2017,58857.584,16:20:57.584,-03,MarkRounding,6,
NZL,17052705,27:05:2017,58860.092,16:21:00.092,-03,MarkRounding,6,
USA,17052705,27:05:2017,58942.571,16:22:22.571,-03,CrossedFinish,,
USA,17052705,27:05:2017,58942.571,16:22:22.571,-03,Finished,,
NZL,17052705,27:05:2017,58948.627,16:22:28.627,-03,CrossedFinish,,
NZL,17052705,27:05:2017,58948.627,16:22:28.627,-03,Finished,,
