Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
PRO,0,27:05:2017,59455.418,16:30:55.417,-03,Message,AllGroups,Course 5-MP
PRO,0,27:05:2017,59458.482,16:30:58.482,-03,Message,AllGroups,Axis 246
PRO,0,27:05:2017,59463.151,16:31:03.151,-03,Message,AllGroups,Length 1.3
GBR,17052706,27:05:2017,59512.381,16:31:52.381,-03,BeginEntry,,
GBR,17052706,27:05:2017,59514.492,16:31:54.492,-03,CompleteEntry,,
JPN,17052706,27:05:2017,59522.500,16:32:02.500,-03,BeginEntry,,
JPN,17052706,27:05:2017,59524.543,16:32:04.543,-03,CompleteEntry,,
JPN,17052706,27:05:2017,59621.769,16:33:41.769,-03,YFlag,,
JPN,17052706,27:05:2017,59630.086,16:33:50.086,-03,YFlag,,
GBR,17052706,27:05:2017,59630.447,16:33:50.447,-03,Penalty44_2a,,
GBR,17052706,27:05:2017,59632.528,16:33:52.528,-03,YFlag,,
,17052706,27:05:2017,59640.000,16:34:00.000,-03,RaceStarted,,
JPN,17052706,27:05:2017,59645.371,16:34:05.371,-03,NoPenalty,,
GBR,17052706,27:05:2017,59650.677,16:34:10.677,-03,NoPenalty,,
JPN,17052706,27:05:2017,59689.401,16:34:49.401,-03,BoatStarted,,
GBR,17052706,27:05:2017,59693.699,16:34:53.699,-03,PenaltyCleared,,
GBR,17052706,27:05:2017,59695.518,16:34:55.518,-03,BoatStarted,,
JPN,17052706,27:05:2017,59731.534,16:35:31.534,-03,MarkRounding,1,
,17052706,27:05:2017,59734.770,16:35:34.770,-03,RaceChanged,,
GBR,17052706,27:05:2017,59740.068,16:35:40.068,-03,MarkRounding,1,
JPN,17052706,27:05:2017,59805.252,16:36:45.252,-03,MarkRounding,2,
GBR,17052706,27:05:2017,59813.127,16:36:53.127,-03,MarkRounding,2,
JPN,17052706,27:05:2017,60081.604,16:41:21.604,-03,MarkRounding,3,
GBR,17052706,27:05:2017,60094.288,16:41:34.288,-03,MarkRounding,3,
JPN,17052706,27:05:2017,60251.100,16:44:11.100,-03,MarkRounding,4,
,17052706,27:05:2017,60444.512,16:47:24.512,-03,RaceChanged,,
JPN,17052706,27:05:2017,60523.354,16:48:43.354,-03,MarkRounding,5,
GBR,17052706,27:05:2017,60568.534,16:49:28.534,-03,MarkRounding,5,
JPN,17052706,27:05:2017,60623.347,16:50:23.347,-03,MarkRounding,6,
GBR,17052706,27:05:2017,60667.882,16:51:07.882,-03,MarkRounding,6,
JPN,17052706,27:05:2017,60708.072,16:51:48.072,-03,CrossedFinish,,
JPN,17052706,27:05:2017,60708.072,16:51:48.072,-03,Finished,,
GBR,17052706,27:05:2017,60755.728,16:52:35.728,-03,CrossedFinish,,
GBR,17052706,27:05:2017,60755.728,16:52:35.728,-03,Finished,,
,17052706,27:05:2017,60761.373,16:52:41.373,-03,RaceTerminated,,
