Date,Secs,LocalTime,Zone,Instant,Average
27:05:2017,50586.687,14:03:06.687,-03,11.55,14.05
27:05:2017,50587.187,14:03:07.187,-03,12.66,14.01
27:05:2017,50587.687,14:03:07.687,-03,12.66,13.96
27:05:2017,50588.187,14:03:08.187,-03,11.60,13.91
27:05:2017,50588.687,14:03:08.687,-03,11.60,13.85
27:05:2017,50589.187,14:03:09.187,-03,13.38,13.85
27:05:2017,50589.687,14:03:09.687,-03,13.38,13.85
27:05:2017,50590.187,14:03:10.187,-03,13.62,13.82
27:05:2017,50590.687,14:03:10.687,-03,13.62,13.80
27:05:2017,50591.187,14:03:11.187,-03,15.12,13.82
27:05:2017,50591.687,14:03:11.687,-03,15.12,13.85
27:05:2017,50592.187,14:03:12.187,-03,15.12,13.85
27:05:2017,50592.687,14:03:12.687,-03,15.12,13.85
27:05:2017,50593.187,14:03:13.187,-03,15.39,13.88
27:05:2017,50593.687,14:03:13.687,-03,15.39,13.90
27:05:2017,50594.187,14:03:14.187,-03,14.37,13.90
27:05:2017,50594.687,14:03:14.687,-03,14.37,13.91
27:05:2017,50595.187,14:03:15.187,-03,15.28,13.92
27:05:2017,50595.687,14:03:15.687,-03,15.28,13.93
27:05:2017,50596.188,14:03:16.188,-03,14.73,13.93
27:05:2017,50596.688,14:03:16.688,-03,14.73,13.93
27:05:2017,50597.188,14:03:17.188,-03,15.47,13.95
27:05:2017,50597.688,14:03:17.688,-03,15.47,13.96
27:05:2017,50598.188,14:03:18.188,-03,14.71,13.98
27:05:2017,50598.688,14:03:18.688,-03,14.71,13.99
27:05:2017,50599.188,14:03:19.188,-03,14.39,14.00
27:05:2017,50599.688,14:03:19.688,-03,14.39,14.01
27:05:2017,50600.188,14:03:20.188,-03,14.30,14.02
27:05:2017,50600.688,14:03:20.688,-03,14.30,14.02
27:05:2017,50601.188,14:03:21.188,-03,13.58,14.02
27:05:2017,50601.688,14:03:21.688,-03,13.58,14.01
27:05:2017,50602.188,14:03:22.188,-03,14.13,14.01
27:05:2017,50602.688,14:03:22.688,-03,14.13,14.01
27:05:2017,50603.188,14:03:23.188,-03,13.80,14.01
27:05:2017,50603.688,14:03:23.688,-03,13.80,14.00
27:05:2017,50604.188,14:03:24.188,-03,13.65,13.95
27:05:2017,50604.688,14:03:24.688,-03,13.65,13.89
27:05:2017,50605.188,14:03:25.188,-03,13.58,13.86
27:05:2017,50605.688,14:03:25.688,-03,13.58,13.84
27:05:2017,50606.188,14:03:26.188,-03,13.70,13.80
27:05:2017,50606.688,14:03:26.688,-03,13.70,13.76
27:05:2017,50607.188,14:03:27.188,-03,14.13,13.74
27:05:2017,50607.689,14:03:27.689,-03,14.13,13.73
27:05:2017,50608.189,14:03:28.189,-03,14.08,13.72
27:05:2017,50608.689,14:03:28.689,-03,14.08,13.72
27:05:2017,50609.189,14:03:29.189,-03,14.47,13.72
27:05:2017,50609.689,14:03:29.689,-03,14.47,13.73
27:05:2017,50610.189,14:03:30.189,-03,15.24,13.76
27:05:2017,50610.689,14:03:30.689,-03,15.24,13.80
27:05:2017,50611.189,14:03:31.189,-03,15.47,13.85
27:05:2017,50611.689,14:03:31.689,-03,15.47,13.90
27:05:2017,50612.189,14:03:32.189,-03,13.93,13.91
27:05:2017,50612.689,14:03:32.689,-03,13.93,13.93
27:05:2017,50613.189,14:03:33.189,-03,15.26,13.98
27:05:2017,50613.689,14:03:33.689,-03,15.26,14.04
27:05:2017,50614.189,14:03:34.189,-03,15.51,14.08
27:05:2017,50614.689,14:03:34.689,-03,15.51,14.12
27:05:2017,50615.189,14:03:35.189,-03,14.87,14.18
27:05:2017,50615.689,14:03:35.689,-03,14.87,14.24
27:05:2017,50616.189,14:03:36.189,-03,14.67,14.29
27:05:2017,50616.689,14:03:36.689,-03,14.67,14.34
27:05:2017,50617.189,14:03:37.189,-03,13.92,14.36
27:05:2017,50617.689,14:03:37.689,-03,13.92,14.38
27:05:2017,50618.189,14:03:38.189,-03,15.48,14.45
27:05:2017,50618.689,14:03:38.689,-03,15.48,14.51
27:05:2017,50619.189,14:03:39.189,-03,14.77,14.54
27:05:2017,50619.690,14:03:39.690,-03,14.77,14.56
27:05:2017,50620.190,14:03:40.190,-03,14.34,14.57
27:05:2017,50620.690,14:03:40.690,-03,14.34,14.58
27:05:2017,50621.190,14:03:41.190,-03,13.96,14.56
27:05:2017,50621.690,14:03:41.690,-03,13.96,14.54
27:05:2017,50622.190,14:03:42.190,-03,13.39,14.52
27:05:2017,50622.690,14:03:42.690,-03,13.39,14.49
27:05:2017,50623.190,14:03:43.190,-03,13.66,14.46
27:05:2017,50623.690,14:03:43.690,-03,13.66,14.43
27:05:2017,50624.190,14:03:44.190,-03,13.21,14.41
27:05:2017,50624.690,14:03:44.690,-03,13.21,14.39
27:05:2017,50625.190,14:03:45.190,-03,12.86,14.35
27:05:2017,50625.690,14:03:45.690,-03,12.86,14.31
27:05:2017,50626.190,14:03:46.190,-03,13.18,14.28
27:05:2017,50626.690,14:03:46.690,-03,13.18,14.26
27:05:2017,50627.190,14:03:47.190,-03,14.68,14.24
27:05:2017,50627.690,14:03:47.690,-03,14.68,14.23
27:05:2017,50628.190,14:03:48.190,-03,13.07,14.20
27:05:2017,50628.690,14:03:48.690,-03,13.07,14.18
27:05:2017,50629.190,14:03:49.190,-03,12.72,14.15
27:05:2017,50629.690,14:03:49.690,-03,12.72,14.12
27:05:2017,50630.190,14:03:50.190,-03,11.62,14.08
27:05:2017,50630.690,14:03:50.690,-03,11.62,14.03
27:05:2017,50631.191,14:03:51.191,-03,11.83,14.00
27:05:2017,50631.691,14:03:51.691,-03,11.83,13.97
27:05:2017,50632.191,14:03:52.191,-03,11.98,13.94
27:05:2017,50632.691,14:03:52.691,-03,11.98,13.90
27:05:2017,50633.191,14:03:53.191,-03,12.53,13.88
27:05:2017,50633.691,14:03:53.691,-03,12.53,13.86
27:05:2017,50634.191,14:03:54.191,-03,12.25,13.84
27:05:2017,50634.691,14:03:54.691,-03,12.25,13.81
27:05:2017,50635.191,14:03:55.191,-03,11.96,13.79
27:05:2017,50635.691,14:03:55.691,-03,11.96,13.76
27:05:2017,50636.191,14:03:56.191,-03,11.81,13.73
27:05:2017,50636.691,14:03:56.691,-03,11.81,13.70
27:05:2017,50637.191,14:03:57.191,-03,11.61,13.65
27:05:2017,50637.691,14:03:57.691,-03,11.61,13.61
27:05:2017,50638.191,14:03:58.191,-03,11.96,13.58
27:05:2017,50638.691,14:03:58.691,-03,11.96,13.54
27:05:2017,50639.191,14:03:59.191,-03,11.99,13.50
27:05:2017,50639.691,14:03:59.691,-03,11.99,13.46
27:05:2017,50640.191,14:04:00.191,-03,13.12,13.42
27:05:2017,50640.691,14:04:00.691,-03,13.12,13.39
27:05:2017,50641.191,14:04:01.191,-03,12.35,13.34
27:05:2017,50641.691,14:04:01.691,-03,12.35,13.28
27:05:2017,50642.191,14:04:02.191,-03,13.20,13.27
27:05:2017,50642.692,14:04:02.692,-03,13.20,13.26
27:05:2017,50643.192,14:04:03.192,-03,12.35,13.21
27:05:2017,50643.692,14:04:03.692,-03,12.35,13.16
27:05:2017,50644.192,14:04:04.192,-03,13.39,13.13
27:05:2017,50644.692,14:04:04.692,-03,13.39,13.09
27:05:2017,50645.192,14:04:05.192,-03,12.53,13.05
27:05:2017,50645.692,14:04:05.692,-03,12.53,13.01
27:05:2017,50646.192,14:04:06.192,-03,13.12,12.99
27:05:2017,50646.692,14:04:06.692,-03,13.12,12.96
27:05:2017,50647.192,14:04:07.192,-03,12.23,12.93
27:05:2017,50647.692,14:04:07.692,-03,12.23,12.91
27:05:2017,50648.192,14:04:08.192,-03,12.78,12.86
27:05:2017,50648.692,14:04:08.692,-03,12.78,12.82
27:05:2017,50649.192,14:04:09.192,-03,12.51,12.78
27:05:2017,50649.692,14:04:09.692,-03,12.51,12.74
27:05:2017,50650.192,14:04:10.192,-03,13.08,12.72
27:05:2017,50650.692,14:04:10.692,-03,13.08,12.70
27:05:2017,50651.192,14:04:11.192,-03,12.33,12.67
27:05:2017,50651.692,14:04:11.692,-03,12.33,12.64
27:05:2017,50652.192,14:04:12.192,-03,12.65,12.63
27:05:2017,50652.692,14:04:12.692,-03,12.65,12.62
27:05:2017,50653.192,14:04:13.192,-03,12.61,12.60
27:05:2017,50653.692,14:04:13.692,-03,12.61,12.58
27:05:2017,50654.192,14:04:14.192,-03,12.74,12.58
27:05:2017,50654.693,14:04:14.693,-03,12.74,12.57
27:05:2017,50655.193,14:04:15.193,-03,11.92,12.55
27:05:2017,50655.693,14:04:15.693,-03,11.92,12.54
27:05:2017,50656.193,14:04:16.193,-03,12.21,12.52
27:05:2017,50656.693,14:04:16.693,-03,12.21,12.50
27:05:2017,50657.193,14:04:17.193,-03,14.38,12.50
27:05:2017,50657.693,14:04:17.693,-03,14.38,12.49
27:05:2017,50658.193,14:04:18.193,-03,13.26,12.50
27:05:2017,50658.693,14:04:18.693,-03,13.26,12.50
27:05:2017,50659.193,14:04:19.193,-03,13.60,12.52
27:05:2017,50659.693,14:04:19.693,-03,13.60,12.53
27:05:2017,50660.193,14:04:20.193,-03,14.17,12.57
27:05:2017,50660.693,14:04:20.693,-03,14.17,12.62
27:05:2017,50661.193,14:04:21.193,-03,15.06,12.67
27:05:2017,50661.693,14:04:21.693,-03,15.06,12.72
27:05:2017,50662.193,14:04:22.193,-03,13.92,12.75
27:05:2017,50662.693,14:04:22.693,-03,13.92,12.79
27:05:2017,50663.193,14:04:23.193,-03,13.11,12.80
27:05:2017,50663.693,14:04:23.693,-03,13.11,12.81
27:05:2017,50664.193,14:04:24.193,-03,13.56,12.83
27:05:2017,50664.693,14:04:24.693,-03,13.56,12.85
27:05:2017,50665.193,14:04:25.193,-03,13.56,12.88
27:05:2017,50665.693,14:04:25.693,-03,13.56,12.90
27:05:2017,50666.194,14:04:26.194,-03,13.35,12.93
27:05:2017,50666.694,14:04:26.694,-03,13.35,12.96
27:05:2017,50667.194,14:04:27.194,-03,13.17,12.98
27:05:2017,50667.695,14:04:27.695,-03,13.17,13.01
27:05:2017,50668.194,14:04:28.194,-03,13.38,13.03
27:05:2017,50668.694,14:04:28.694,-03,13.38,13.05
27:05:2017,50669.194,14:04:29.194,-03,12.52,13.06
27:05:2017,50669.694,14:04:29.694,-03,12.52,13.07
27:05:2017,50670.194,14:04:30.194,-03,12.70,13.07
27:05:2017,50670.694,14:04:30.694,-03,12.70,13.06
27:05:2017,50671.194,14:04:31.194,-03,11.19,13.04
27:05:2017,50671.694,14:04:31.694,-03,11.19,13.02
27:05:2017,50672.194,14:04:32.194,-03,12.19,13.00
27:05:2017,50672.694,14:04:32.694,-03,12.19,12.99
27:05:2017,50673.194,14:04:33.194,-03,11.26,12.97
27:05:2017,50673.694,14:04:33.694,-03,11.26,12.95
27:05:2017,50674.194,14:04:34.194,-03,10.34,12.90
27:05:2017,50674.694,14:04:34.694,-03,10.34,12.85
27:05:2017,50675.194,14:04:35.194,-03,10.95,12.82
27:05:2017,50675.694,14:04:35.694,-03,10.95,12.79
27:05:2017,50676.194,14:04:36.194,-03,10.95,12.76
27:05:2017,50676.694,14:04:36.694,-03,10.95,12.72
27:05:2017,50677.194,14:04:37.194,-03,12.12,12.72
27:05:2017,50677.695,14:04:37.695,-03,12.12,12.72
27:05:2017,50678.195,14:04:38.195,-03,13.67,12.73
27:05:2017,50678.695,14:04:38.695,-03,13.67,12.75
27:05:2017,50679.195,14:04:39.195,-03,13.78,12.77
27:05:2017,50679.695,14:04:39.695,-03,13.78,12.79
27:05:2017,50680.195,14:04:40.195,-03,13.92,12.80
27:05:2017,50680.695,14:04:40.695,-03,13.92,12.82
27:05:2017,50681.195,14:04:41.195,-03,13.83,12.84
27:05:2017,50681.695,14:04:41.695,-03,13.83,12.87
27:05:2017,50682.195,14:04:42.195,-03,14.14,12.89
27:05:2017,50682.695,14:04:42.695,-03,14.14,12.92
27:05:2017,50683.195,14:04:43.195,-03,12.98,12.92
27:05:2017,50683.695,14:04:43.695,-03,12.98,12.93
27:05:2017,50684.195,14:04:44.195,-03,12.36,12.92
27:05:2017,50684.695,14:04:44.695,-03,12.36,12.92
27:05:2017,50685.195,14:04:45.195,-03,12.49,12.93
27:05:2017,50685.695,14:04:45.695,-03,12.49,12.94
27:05:2017,50686.195,14:04:46.195,-03,12.32,12.94
27:05:2017,50686.695,14:04:46.695,-03,12.32,12.94
27:05:2017,50687.195,14:04:47.195,-03,12.79,12.91
27:05:2017,50687.695,14:04:47.695,-03,12.79,12.89
27:05:2017,50688.195,14:04:48.195,-03,12.03,12.87
27:05:2017,50688.695,14:04:48.695,-03,12.03,12.85
27:05:2017,50689.195,14:04:49.195,-03,11.98,12.82
27:05:2017,50689.696,14:04:49.696,-03,11.98,12.79
27:05:2017,50690.196,14:04:50.196,-03,11.87,12.75
27:05:2017,50690.696,14:04:50.696,-03,11.87,12.72
27:05:2017,50691.196,14:04:51.196,-03,12.28,12.67
27:05:2017,50691.696,14:04:51.696,-03,12.28,12.62
27:05:2017,50692.196,14:04:52.196,-03,11.06,12.57
27:05:2017,50692.696,14:04:52.696,-03,11.06,12.53
27:05:2017,50693.196,14:04:53.196,-03,10.15,12.48
27:05:2017,50693.696,14:04:53.696,-03,10.15,12.43
27:05:2017,50694.196,14:04:54.196,-03,10.15,12.37
27:05:2017,50694.696,14:04:54.696,-03,10.15,12.32
27:05:2017,50695.196,14:04:55.196,-03,10.77,12.27
27:05:2017,50695.696,14:04:55.696,-03,10.77,12.22
27:05:2017,50696.196,14:04:56.196,-03,11.29,12.19
27:05:2017,50696.696,14:04:56.696,-03,11.29,12.15
27:05:2017,50697.196,14:04:57.196,-03,10.14,12.10
27:05:2017,50697.696,14:04:57.696,-03,10.14,12.05
27:05:2017,50698.196,14:04:58.196,-03,11.47,12.02
27:05:2017,50698.696,14:04:58.696,-03,11.47,11.99
27:05:2017,50699.196,14:04:59.196,-03,11.79,11.98
27:05:2017,50699.696,14:04:59.696,-03,11.79,11.96
27:05:2017,50700.196,14:05:00.196,-03,12.01,11.95
27:05:2017,50700.696,14:05:00.696,-03,12.01,11.94
27:05:2017,50701.197,14:05:01.197,-03,12.50,11.96
27:05:2017,50701.697,14:05:01.697,-03,12.50,11.98
27:05:2017,50702.197,14:05:02.197,-03,12.41,11.99
27:05:2017,50702.697,14:05:02.697,-03,12.41,11.99
27:05:2017,50703.197,14:05:03.197,-03,13.40,12.03
27:05:2017,50703.697,14:05:03.697,-03,13.40,12.06
27:05:2017,50704.197,14:05:04.197,-03,12.61,12.10
27:05:2017,50704.697,14:05:04.697,-03,12.61,12.14
27:05:2017,50705.197,14:05:05.197,-03,13.17,12.18
27:05:2017,50705.697,14:05:05.697,-03,13.17,12.21
27:05:2017,50706.197,14:05:06.197,-03,12.31,12.24
27:05:2017,50706.697,14:05:06.697,-03,12.31,12.26
27:05:2017,50707.197,14:05:07.197,-03,13.19,12.28
27:05:2017,50707.697,14:05:07.697,-03,13.19,12.29
27:05:2017,50708.197,14:05:08.197,-03,12.18,12.27
27:05:2017,50708.697,14:05:08.697,-03,12.18,12.24
27:05:2017,50709.197,14:05:09.197,-03,12.08,12.22
27:05:2017,50709.697,14:05:09.697,-03,12.08,12.19
27:05:2017,50710.197,14:05:10.197,-03,11.57,12.15
27:05:2017,50710.697,14:05:10.697,-03,11.57,12.11
27:05:2017,50711.197,14:05:11.197,-03,11.82,12.08
27:05:2017,50711.697,14:05:11.697,-03,11.82,12.04
27:05:2017,50712.197,14:05:12.197,-03,11.42,12.00
27:05:2017,50712.698,14:05:12.698,-03,11.42,11.95
27:05:2017,50713.198,14:05:13.198,-03,13.03,11.95
27:05:2017,50713.698,14:05:13.698,-03,13.03,11.95
27:05:2017,50714.198,14:05:14.198,-03,11.93,11.95
27:05:2017,50714.698,14:05:14.698,-03,11.93,11.94
27:05:2017,50715.198,14:05:15.198,-03,12.15,11.93
