Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
NZL,17060210,02:06:2017,54233.474,15:03:53.474,-03,BeginEntry,,
NZL,17060210,02:06:2017,54237.921,15:03:57.921,-03,CompleteEntry,,
FRA,17060210,02:06:2017,54246.580,15:04:06.580,-03,BeginEntry,,
FRA,17060210,02:06:2017,54251.024,15:04:11.024,-03,CompleteEntry,,
,17060210,02:06:2017,54360.000,15:06:00.000,-03,RaceStarted,,
NZL,17060210,02:06:2017,54363.835,15:06:03.835,-03,BoatStarted,,
FRA,17060210,02:06:2017,54368.062,15:06:08.062,-03,BoatStarted,,
,17060210,02:06:2017,54387.854,15:06:27.854,-03,RaceChanged,,
NZL,17060210,02:06:2017,54400.480,15:06:40.480,-03,MarkRounding,1,
FRA,17060210,02:06:2017,54427.522,15:07:07.522,-03,MarkRounding,1,
NZL,17060210,02:06:2017,54509.716,15:08:29.716,-03,MarkRounding,2,
FRA,17060210,02:06:2017,54534.622,15:08:54.622,-03,MarkRounding,2,
NZL,17060210,02:06:2017,54773.042,15:12:53.042,-03,MarkRounding,3,
FRA,17060210,02:06:2017,54844.677,15:14:04.677,-03,MarkRounding,3,
NZL,17060210,02:06:2017,54929.108,15:15:29.108,-03,MarkRounding,4,
FRA,17060210,02:06:2017,55029.761,15:17:09.761,-03,MarkRounding,4,
,17060210,02:06:2017,55058.652,15:17:38.652,-03,RaceChanged,,
FRA,17060210,02:06:2017,55153.450,15:19:13.450,-03,Penalty44_2b,,
FRA,17060210,02:06:2017,55167.034,15:19:27.034,-03,PenaltyCleared,,
NZL,17060210,02:06:2017,55204.850,15:20:04.850,-03,MarkRounding,5,
NZL,17060210,02:06:2017,55372.092,15:22:52.092,-03,MarkRounding,6,
FRA,17060210,02:06:2017,55377.754,15:22:57.754,-03,MarkRounding,5,
NZL,17060210,02:06:2017,55403.747,15:23:23.747,-03,CrossedFinish,,
NZL,17060210,02:06:2017,55403.747,15:23:23.747,-03,Finished,,
FRA,17060210,02:06:2017,55602.762,15:26:42.762,-03,MarkRounding,6,
FRA,17060210,02:06:2017,55649.324,15:27:29.324,-03,CrossedFinish,,
FRA,17060210,02:06:2017,55649.324,15:27:29.324,-03,Finished,,
,17060210,02:06:2017,55659.836,15:27:39.836,-03,RaceTerminated,,
