Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
NZL,17060208,02:06:2017,50750.995,14:05:50.995,-03,BeginEntry,,
NZL,17060208,02:06:2017,50754.839,14:05:54.839,-03,CompleteEntry,,
JPN,17060208,02:06:2017,50766.670,14:06:06.670,-03,BeginEntry,,
JPN,17060208,02:06:2017,50770.261,14:06:10.261,-03,CompleteEntry,,
,17060208,02:06:2017,50880.000,14:08:00.000,-03,RaceStarted,,
NZL,17060208,02:06:2017,50880.086,14:08:00.086,-03,BoatStarted,,
JPN,17060208,02:06:2017,50881.452,14:08:01.452,-03,BoatStarted,,
,17060208,02:06:2017,50900.163,14:08:20.163,-03,RaceChanged,,
NZL,17060208,02:06:2017,50915.503,14:08:35.503,-03,MarkRounding,1,
JPN,17060208,02:06:2017,50917.943,14:08:37.943,-03,MarkRounding,1,
NZL,17060208,02:06:2017,51015.653,14:10:15.653,-03,MarkRounding,2,
JPN,17060208,02:06:2017,51018.635,14:10:18.635,-03,MarkRounding,2,
NZL,17060208,02:06:2017,51254.951,14:14:14.951,-03,MarkRounding,3,
JPN,17060208,02:06:2017,51278.131,14:14:38.131,-03,MarkRounding,3,
,17060208,02:06:2017,51311.123,14:15:11.123,-03,RaceChanged,,
,17060208,02:06:2017,51383.230,14:16:23.230,-03,RaceChanged,,
PRO,0,02:06:2017,51384.615,14:16:24.614,-03,Message,AllGroups,WG +
PRO,0,02:06:2017,51390.271,14:16:30.270,-03,Message,AllGroups,WG 200
NZL,17060208,02:06:2017,51400.539,14:16:40.539,-03,MarkRounding,4,
JPN,17060208,02:06:2017,51427.707,14:17:07.707,-03,MarkRounding,4,
,17060208,02:06:2017,51514.718,14:18:34.718,-03,RaceChanged,,
NZL,17060208,02:06:2017,51651.081,14:20:51.081,-03,MarkRounding,5,
JPN,17060208,02:06:2017,51703.028,14:21:43.028,-03,MarkRounding,5,
NZL,17060208,02:06:2017,51811.882,14:23:31.882,-03,MarkRounding,6,
JPN,17060208,02:06:2017,51859.075,14:24:19.075,-03,MarkRounding,6,
JPN,17060208,02:06:2017,51881.929,14:24:41.929,-03,CrossedFinish,,
NZL,17060208,02:06:2017,51836.000,14:23:56.000,-03,Finished,,
JPN,17060208,02:06:2017,51881.929,14:24:41.929,-03,Finished,,
,17060208,02:06:2017,51891.101,14:24:51.101,-03,RaceTerminated,,
