Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
,17060209,02:06:2017,52369.516,14:32:49.516,-03,RaceChanged,,
SWE,17060209,02:06:2017,52492.164,14:34:52.164,-03,BeginEntry,,
SWE,17060209,02:06:2017,52496.115,14:34:56.115,-03,CompleteEntry,,
USA,17060209,02:06:2017,52508.647,14:35:08.647,-03,BeginEntry,,
USA,17060209,02:06:2017,52511.306,14:35:11.306,-03,CompleteEntry,,
SWE,17060209,02:06:2017,52599.127,14:36:39.127,-03,YFlag,,
SWE,17060209,02:06:2017,52612.714,14:36:52.714,-03,NoPenalty,,
,17060209,02:06:2017,52620.000,14:37:00.000,-03,RaceStarted,,
SWE,17060209,02:06:2017,52623.313,14:37:03.313,-03,BoatStarted,,
USA,17060209,02:06:2017,52632.741,14:37:12.741,-03,BoatStarted,,
SWE,17060209,02:06:2017,52659.964,14:37:39.964,-03,MarkRounding,1,
,17060209,02:06:2017,52665.139,14:37:45.139,-03,RaceChanged,,
USA,17060209,02:06:2017,52671.798,14:37:51.798,-03,MarkRounding,1,
,17060209,02:06:2017,52749.902,14:39:09.902,-03,RaceChanged,,
SWE,17060209,02:06:2017,52768.353,14:39:28.353,-03,MarkRounding,2,
,17060209,02:06:2017,52775.116,14:39:35.116,-03,RaceChanged,,
USA,17060209,02:06:2017,52778.523,14:39:38.523,-03,MarkRounding,2,
SWE,17060209,02:06:2017,53037.769,14:43:57.769,-03,MarkRounding,3,
USA,17060209,02:06:2017,53056.965,14:44:16.965,-03,MarkRounding,3,
PRO,0,02:06:2017,53132.817,14:45:32.817,-03,Message,AllGroups,WG +
PRO,0,02:06:2017,53138.362,14:45:38.362,-03,Message,AllGroups,WG 203
,17060209,02:06:2017,53185.320,14:46:25.320,-03,RaceChanged,,
SWE,17060209,02:06:2017,53189.015,14:46:29.015,-03,MarkRounding,4,
USA,17060209,02:06:2017,53216.302,14:46:56.302,-03,MarkRounding,4,
,17060209,02:06:2017,53329.548,14:48:49.548,-03,RaceChanged,,
SWE,17060209,02:06:2017,53467.988,14:51:07.988,-03,MarkRounding,5,
USA,17060209,02:06:2017,53487.017,14:51:27.017,-03,MarkRounding,5,
SWE,17060209,02:06:2017,53619.101,14:53:39.101,-03,MarkRounding,6,
SWE,17060209,02:06:2017,53639.272,14:53:59.272,-03,CrossedFinish,,
USA,17060209,02:06:2017,53640.176,14:54:00.176,-03,MarkRounding,6,
SWE,17060209,02:06:2017,53639.272,14:53:59.272,-03,Finished,,
USA,17060209,02:06:2017,53663.528,14:54:23.528,-03,CrossedFinish,,
USA,17060209,02:06:2017,53663.528,14:54:23.528,-03,Finished,,
,17060209,02:06:2017,53669.378,14:54:29.378,-03,RaceTerminated,,
