Date,Secs,LocalTime,Zone,Instant,Average
02:06:2017,50585.588,14:03:05.588,-03,15.80,13.68
02:06:2017,50586.088,14:03:06.088,-03,16.15,13.74
02:06:2017,50586.588,14:03:06.588,-03,16.15,13.78
02:06:2017,50587.088,14:03:07.088,-03,16.21,13.82
02:06:2017,50587.588,14:03:07.588,-03,16.21,13.86
02:06:2017,50588.088,14:03:08.088,-03,16.22,13.90
02:06:2017,50588.588,14:03:08.588,-03,16.22,13.95
02:06:2017,50589.088,14:03:09.088,-03,15.55,13.98
02:06:2017,50589.588,14:03:09.588,-03,15.55,14.02
02:06:2017,50590.088,14:03:10.088,-03,15.48,14.05
02:06:2017,50590.588,14:03:10.588,-03,15.48,14.09
02:06:2017,50591.088,14:03:11.088,-03,14.63,14.12
02:06:2017,50591.588,14:03:11.588,-03,14.63,14.15
02:06:2017,50592.088,14:03:12.088,-03,16.45,14.21
02:06:2017,50592.588,14:03:12.588,-03,16.45,14.27
02:06:2017,50593.088,14:03:13.088,-03,16.49,14.34
02:06:2017,50593.588,14:03:13.588,-03,16.49,14.41
02:06:2017,50594.090,14:03:14.090,-03,16.09,14.49
02:06:2017,50594.588,14:03:14.588,-03,16.09,14.52
02:06:2017,50595.088,14:03:15.088,-03,16.17,14.57
02:06:2017,50595.588,14:03:15.588,-03,16.17,14.61
02:06:2017,50596.088,14:03:16.088,-03,15.84,14.64
02:06:2017,50596.588,14:03:16.588,-03,15.84,14.68
02:06:2017,50597.088,14:03:17.088,-03,16.09,14.71
02:06:2017,50597.587,14:03:17.587,-03,16.09,14.72
02:06:2017,50598.087,14:03:18.087,-03,15.51,14.72
02:06:2017,50598.587,14:03:18.587,-03,15.51,14.73
02:06:2017,50599.087,14:03:19.087,-03,15.80,14.73
02:06:2017,50599.587,14:03:19.587,-03,15.80,14.75
02:06:2017,50600.087,14:03:20.087,-03,15.86,14.77
02:06:2017,50600.587,14:03:20.587,-03,15.86,14.77
02:06:2017,50601.087,14:03:21.087,-03,16.03,14.77
02:06:2017,50601.587,14:03:21.587,-03,16.03,14.77
02:06:2017,50602.087,14:03:22.087,-03,14.95,14.76
02:06:2017,50602.587,14:03:22.587,-03,14.95,14.76
02:06:2017,50603.087,14:03:23.087,-03,14.88,14.75
02:06:2017,50603.587,14:03:23.587,-03,14.88,14.76
02:06:2017,50604.087,14:03:24.087,-03,15.04,14.78
02:06:2017,50604.587,14:03:24.587,-03,15.04,14.82
02:06:2017,50605.087,14:03:25.087,-03,14.66,14.85
02:06:2017,50605.587,14:03:25.587,-03,14.66,14.89
02:06:2017,50606.087,14:03:26.087,-03,13.33,14.91
02:06:2017,50606.587,14:03:26.587,-03,13.33,14.94
02:06:2017,50607.087,14:03:27.087,-03,13.68,14.97
02:06:2017,50607.587,14:03:27.587,-03,13.68,15.01
02:06:2017,50608.087,14:03:28.087,-03,13.63,15.04
02:06:2017,50608.587,14:03:28.587,-03,13.63,15.07
02:06:2017,50609.087,14:03:29.087,-03,12.35,15.08
02:06:2017,50609.587,14:03:29.587,-03,12.35,15.09
02:06:2017,50610.087,14:03:30.087,-03,10.79,15.07
02:06:2017,50610.587,14:03:30.587,-03,10.79,15.04
02:06:2017,50611.087,14:03:31.087,-03,11.63,15.02
02:06:2017,50611.587,14:03:31.587,-03,11.63,14.99
02:06:2017,50612.087,14:03:32.087,-03,12.71,14.98
02:06:2017,50612.587,14:03:32.587,-03,12.71,14.94
02:06:2017,50613.087,14:03:33.087,-03,13.23,14.91
02:06:2017,50613.587,14:03:33.587,-03,13.23,14.88
02:06:2017,50614.087,14:03:34.087,-03,13.42,14.85
02:06:2017,50614.587,14:03:34.587,-03,13.42,14.83
02:06:2017,50615.086,14:03:35.086,-03,14.18,14.81
02:06:2017,50615.586,14:03:35.586,-03,14.18,14.79
02:06:2017,50616.086,14:03:36.086,-03,14.41,14.76
02:06:2017,50616.586,14:03:36.586,-03,14.41,14.73
02:06:2017,50617.086,14:03:37.086,-03,15.40,14.72
02:06:2017,50617.586,14:03:37.586,-03,15.40,14.71
02:06:2017,50618.086,14:03:38.086,-03,13.90,14.67
02:06:2017,50618.586,14:03:38.586,-03,13.90,14.63
02:06:2017,50619.086,14:03:39.086,-03,13.61,14.59
02:06:2017,50619.586,14:03:39.586,-03,13.61,14.56
02:06:2017,50620.086,14:03:40.086,-03,13.39,14.52
02:06:2017,50620.586,14:03:40.586,-03,13.39,14.49
02:06:2017,50621.086,14:03:41.086,-03,13.38,14.45
02:06:2017,50621.586,14:03:41.586,-03,13.38,14.43
02:06:2017,50622.086,14:03:42.086,-03,12.69,14.40
02:06:2017,50622.586,14:03:42.586,-03,12.69,14.34
02:06:2017,50623.086,14:03:43.086,-03,12.34,14.27
02:06:2017,50623.586,14:03:43.586,-03,12.34,14.20
02:06:2017,50624.086,14:03:44.086,-03,12.78,14.14
02:06:2017,50624.586,14:03:44.586,-03,12.78,14.09
02:06:2017,50625.086,14:03:45.086,-03,14.11,14.06
02:06:2017,50625.586,14:03:45.586,-03,14.11,14.02
02:06:2017,50626.086,14:03:46.086,-03,13.79,13.98
02:06:2017,50626.586,14:03:46.586,-03,13.79,13.95
02:06:2017,50627.086,14:03:47.086,-03,13.03,13.90
02:06:2017,50627.586,14:03:47.586,-03,13.03,13.85
02:06:2017,50628.086,14:03:48.086,-03,12.97,13.80
02:06:2017,50628.586,14:03:48.586,-03,12.97,13.76
02:06:2017,50629.086,14:03:49.086,-03,13.24,13.72
02:06:2017,50629.586,14:03:49.586,-03,13.24,13.68
02:06:2017,50630.086,14:03:50.086,-03,12.45,13.63
02:06:2017,50630.586,14:03:50.586,-03,12.45,13.57
02:06:2017,50631.086,14:03:51.086,-03,13.50,13.53
02:06:2017,50631.586,14:03:51.586,-03,13.50,13.49
02:06:2017,50632.085,14:03:52.085,-03,11.77,13.42
02:06:2017,50632.585,14:03:52.585,-03,11.77,13.37
02:06:2017,50633.085,14:03:53.085,-03,12.89,13.34
02:06:2017,50633.585,14:03:53.585,-03,12.89,13.30
02:06:2017,50634.085,14:03:54.085,-03,13.15,13.27
02:06:2017,50634.585,14:03:54.585,-03,13.15,13.24
02:06:2017,50635.085,14:03:55.085,-03,14.33,13.23
02:06:2017,50635.585,14:03:55.585,-03,14.33,13.23
02:06:2017,50636.085,14:03:56.085,-03,13.63,13.21
02:06:2017,50636.585,14:03:56.585,-03,13.63,13.21
02:06:2017,50637.085,14:03:57.085,-03,14.24,13.23
02:06:2017,50637.585,14:03:57.585,-03,14.24,13.24
02:06:2017,50638.085,14:03:58.085,-03,14.28,13.25
02:06:2017,50638.585,14:03:58.585,-03,14.28,13.26
02:06:2017,50639.085,14:03:59.085,-03,13.03,13.25
02:06:2017,50639.585,14:03:59.585,-03,13.03,13.26
02:06:2017,50640.085,14:04:00.085,-03,12.63,13.26
02:06:2017,50640.585,14:04:00.585,-03,12.63,13.30
02:06:2017,50641.085,14:04:01.085,-03,12.69,13.33
02:06:2017,50641.585,14:04:01.585,-03,12.69,13.34
02:06:2017,50642.085,14:04:02.085,-03,11.88,13.35
02:06:2017,50642.585,14:04:02.585,-03,11.88,13.33
02:06:2017,50643.085,14:04:03.085,-03,11.96,13.32
02:06:2017,50643.585,14:04:03.585,-03,11.96,13.30
02:06:2017,50644.085,14:04:04.085,-03,12.82,13.29
