Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
JPN,17060104,01:06:2017,51235.688,14:13:55.688,-03,BeginEntry,,
JPN,17060104,01:06:2017,51239.635,14:13:59.635,-03,CompleteEntry,,
FRA,17060104,01:06:2017,51247.258,14:14:07.258,-03,BeginEntry,,
FRA,17060104,01:06:2017,51253.323,14:14:13.323,-03,CompleteEntry,,
GBR,0,01:06:2017,51319.091,14:15:19.091,-03,YFlag,,
,17060104,01:06:2017,51360.000,14:16:00.000,-03,RaceStarted,,
JPN,17060104,01:06:2017,51363.301,14:16:03.301,-03,BoatStarted,,
FRA,17060104,01:06:2017,51366.573,14:16:06.573,-03,BoatStarted,,
,17060104,01:06:2017,51395.277,14:16:35.277,-03,RaceChanged,,
JPN,17060104,01:06:2017,51417.237,14:16:57.237,-03,MarkRounding,1,
FRA,17060104,01:06:2017,51427.362,14:17:07.362,-03,MarkRounding,1,
PRO,0,01:06:2017,51547.585,14:19:07.584,-03,Message,AllGroups,WG -
JPN,17060104,01:06:2017,51571.600,14:19:31.600,-03,MarkRounding,2,
,17060104,01:06:2017,51584.968,14:19:44.968,-03,RaceChanged,,
FRA,17060104,01:06:2017,51596.683,14:19:56.683,-03,MarkRounding,2,
GBR,0,01:06:2017,51861.342,14:24:21.342,-03,YFlag,,
GBR,0,01:06:2017,51867.285,14:24:27.285,-03,NoPenalty,,
JPN,17060104,01:06:2017,51879.885,14:24:39.885,-03,MarkRounding,3,
PRO,0,01:06:2017,51945.149,14:25:45.149,-03,Message,AllGroups,L6 F-LG
,17060104,01:06:2017,51961.725,14:26:01.725,-03,RaceChanged,,
FRA,17060104,01:06:2017,51968.743,14:26:08.743,-03,MarkRounding,3,
,17060104,01:06:2017,52045.268,14:27:25.268,-03,RaceChanged,,
PRO,0,01:06:2017,52055.501,14:27:35.501,-03,Message,AllGroups,WG -
PRO,0,01:06:2017,52066.809,14:27:46.809,-03,Message,AllGroups,L6 F-LG
JPN,17060104,01:06:2017,52090.968,14:28:10.968,-03,MarkRounding,4,
,17060104,01:06:2017,52104.483,14:28:24.483,-03,RaceChanged,,
FRA,17060104,01:06:2017,52283.723,14:31:23.723,-03,MarkRounding,4,
JPN,17060104,01:06:2017,52311.096,14:31:51.096,-03,MarkRounding,5,
JPN,17060104,01:06:2017,52469.229,14:34:29.229,-03,CrossedFinish,,
JPN,17060104,01:06:2017,52469.229,14:34:29.229,-03,Finished,,
FRA,17060104,01:06:2017,52536.567,14:35:36.567,-03,MarkRounding,5,
,17060104,01:06:2017,52661.385,14:37:41.385,-03,RaceTerminated,,
,17060105,01:06:2017,52684.198,14:38:04.198,-03,RaceChanged,,
,17060105,01:06:2017,52684.238,14:38:04.238,-03,RaceStartTimeAnnounced,01:06:2017,14:45
FRA,0,01:06:2017,52846.881,14:40:46.881,-03,DNF,,
,17060105,01:06:2017,52953.364,14:42:33.364,-03,RaceChanged,,
GBR,17060105,01:06:2017,52975.041,14:42:55.041,-03,BeginEntry,,
