Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
JPN,17060106,01:06:2017,55863.851,15:31:03.851,-03,BeginEntry,,
JPN,17060106,01:06:2017,55866.731,15:31:06.731,-03,CompleteEntry,,
USA,17060106,01:06:2017,55866.886,15:31:06.886,-03,BeginEntry,,
USA,17060106,01:06:2017,55920.197,15:32:00.197,-03,LateEntry,,
USA,17060106,01:06:2017,55922.868,15:32:02.868,-03,OCS,,
,17060106,01:06:2017,55980.000,15:33:00.000,-03,RaceStarted,,
JPN,17060106,01:06:2017,55984.052,15:33:04.052,-03,BoatStarted,,
USA,17060106,01:06:2017,55983.775,15:33:03.775,-03,OCSCleared,,
USA,17060106,01:06:2017,55996.959,15:33:16.959,-03,CompleteEntry,,
USA,17060106,01:06:2017,56002.026,15:33:22.026,-03,BoatStarted,,
JPN,17060106,01:06:2017,56038.044,15:33:58.044,-03,MarkRounding,1,
,17060106,01:06:2017,56044.278,15:34:04.278,-03,RaceChanged,,
USA,17060106,01:06:2017,56061.990,15:34:21.990,-03,MarkRounding,1,
JPN,17060106,01:06:2017,56178.833,15:36:18.833,-03,MarkRounding,2,
USA,17060106,01:06:2017,56186.550,15:36:26.550,-03,MarkRounding,2,
PRO,0,01:06:2017,56326.378,15:38:46.377,-03,Message,AllGroups,LG 040
PRO,0,01:06:2017,56336.177,15:38:56.176,-03,Message,AllGroups,Axis 220
,17060106,01:06:2017,56360.529,15:39:20.529,-03,RaceChanged,,
JPN,17060106,01:06:2017,56420.962,15:40:20.962,-03,MarkRounding,3,
USA,17060106,01:06:2017,56442.288,15:40:42.288,-03,MarkRounding,3,
JPN,17060106,01:06:2017,56580.084,15:43:00.084,-03,MarkRounding,4,
USA,17060106,01:06:2017,56602.484,15:43:22.484,-03,MarkRounding,4,
,17060106,01:06:2017,56706.788,15:45:06.788,-03,RaceChanged,,
USA,17060106,01:06:2017,56818.162,15:46:58.162,-03,MarkRounding,5,
JPN,17060106,01:06:2017,56852.741,15:47:32.741,-03,MarkRounding,5,
USA,17060106,01:06:2017,56969.367,15:49:29.367,-03,MarkRounding,6,
JPN,17060106,01:06:2017,57002.484,15:50:02.484,-03,MarkRounding,6,
USA,17060106,01:06:2017,57060.868,15:51:00.868,-03,CrossedFinish,,
USA,17060106,01:06:2017,57060.868,15:51:00.868,-03,Finished,,
JPN,17060106,01:06:2017,57092.859,15:51:32.859,-03,CrossedFinish,,
JPN,17060106,01:06:2017,57092.859,15:51:32.859,-03,Finished,,
,17060106,01:06:2017,57098.543,15:51:38.543,-03,RaceTerminated,,
