Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
GBR,17060105,01:06:2017,52979.506,14:42:59.506,-03,CompleteEntry,,
NZL,17060105,01:06:2017,52993.452,14:43:13.452,-03,BeginEntry,,
NZL,17060105,01:06:2017,52999.309,14:43:19.309,-03,CompleteEntry,,
,17060105,01:06:2017,53065.982,14:44:25.982,-03,RaceChanged,,
,17060105,01:06:2017,53100.000,14:45:00.000,-03,RaceStarted,,
GBR,17060105,01:06:2017,53101.732,14:45:01.732,-03,BoatStarted,,
NZL,17060105,01:06:2017,53104.093,14:45:04.093,-03,BoatStarted,,
,17060105,01:06:2017,53133.066,14:45:33.066,-03,RaceChanged,,
GBR,17060105,01:06:2017,53169.671,14:46:09.671,-03,MarkRounding,1,
NZL,17060105,01:06:2017,53170.102,14:46:10.102,-03,MarkRounding,1,
PRO,0,01:06:2017,53261.640,14:47:41.640,-03,Message,AllGroups,Course 6-F
NZL,17060105,01:06:2017,53309.901,14:48:29.901,-03,MarkRounding,2,
GBR,17060105,01:06:2017,53356.056,14:49:16.056,-03,YFlag,,
GBR,17060105,01:06:2017,53363.331,14:49:23.331,-03,NoPenalty,,
GBR,17060105,01:06:2017,53495.475,14:51:35.475,-03,MarkRounding,2,
NZL,17060105,01:06:2017,53607.859,14:53:27.859,-03,MarkRounding,3,
NZL,17060105,01:06:2017,53767.389,14:56:07.389,-03,MarkRounding,4,
,17060105,01:06:2017,53842.927,14:57:22.927,-03,RaceChanged,,
PRO,0,01:06:2017,53842.956,14:57:22.955,-03,Message,AllGroups,L6 F-LG
GBR,17060105,01:06:2017,53848.970,14:57:28.970,-03,MarkRounding,3,
NZL,17060105,01:06:2017,54048.862,15:00:48.862,-03,MarkRounding,5,
GBR,17060105,01:06:2017,54152.366,15:02:32.366,-03,MarkRounding,4,
NZL,17060105,01:06:2017,54230.639,15:03:50.639,-03,CrossedFinish,,
NZL,17060105,01:06:2017,54230.639,15:03:50.639,-03,Finished,,
,17060105,01:06:2017,54269.920,15:04:29.920,-03,RaceTerminated,,
,17060106,01:06:2017,54285.487,15:04:45.487,-03,RaceChanged,,
,17060106,01:06:2017,54285.513,15:04:45.513,-03,RaceStartTimeAnnounced,01:06:2017,15:12
,17060106,01:06:2017,54343.654,15:05:43.654,-03,RaceChanged,,
,17060106,01:06:2017,54401.705,15:06:41.705,-03,RaceChanged,,
,17060106,01:06:2017,54401.713,15:06:41.713,-03,RaceStartTimeAnnounced,01:06:2017,15:15
