Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
GBR,0,30:05:2017,52368.210,14:32:48.210,-03,YFlag,,
FRA,17053002,30:05:2017,52492.424,14:34:52.424,-03,BeginEntry,,
FRA,17053002,30:05:2017,52495.276,14:34:55.276,-03,CompleteEntry,,
USA,17053002,30:05:2017,52508.572,14:35:08.572,-03,BeginEntry,,
USA,17053002,30:05:2017,52511.484,14:35:11.484,-03,CompleteEntry,,
,17053002,30:05:2017,52620.000,14:37:00.000,-03,RaceStarted,,
USA,17053002,30:05:2017,52637.834,14:37:17.834,-03,BoatStarted,,
FRA,17053002,30:05:2017,52644.765,14:37:24.765,-03,BoatStarted,,
USA,17053002,30:05:2017,52675.645,14:37:55.645,-03,MarkRounding,1,
,17053002,30:05:2017,52678.569,14:37:58.569,-03,RaceChanged,,
FRA,17053002,30:05:2017,52691.646,14:38:11.646,-03,MarkRounding,1,
FRA,17053002,30:05:2017,52738.311,14:38:58.311,-03,Penalty44_2b,,
FRA,17053002,30:05:2017,52753.271,14:39:13.271,-03,PenaltyCleared,,
USA,17053002,30:05:2017,52798.761,14:39:58.761,-03,MarkRounding,2,
,17053002,30:05:2017,52799.345,14:39:59.345,-03,RaceChanged,,
FRA,17053002,30:05:2017,52830.119,14:40:30.119,-03,MarkRounding,2,
USA,17053002,30:05:2017,53064.301,14:44:24.301,-03,MarkRounding,3,
FRA,17053002,30:05:2017,53126.046,14:45:26.046,-03,MarkRounding,3,
USA,17053002,30:05:2017,53230.650,14:47:10.650,-03,MarkRounding,4,
GBR,0,30:05:2017,53310.859,14:48:30.859,-03,YFlag,,
FRA,17053002,30:05:2017,53320.734,14:48:40.734,-03,MarkRounding,4,
USA,17053002,30:05:2017,53502.966,14:51:42.966,-03,MarkRounding,5,
,17053002,30:05:2017,53519.833,14:51:59.833,-03,RaceChanged,,
USA,17053002,30:05:2017,53558.443,14:52:38.443,-03,MarkRounding,6,
FRA,17053002,30:05:2017,53617.396,14:53:37.396,-03,MarkRounding,5,
USA,17053002,30:05:2017,53652.982,14:54:12.982,-03,CrossedFinish,,
USA,17053002,30:05:2017,53652.982,14:54:12.982,-03,Finished,,
FRA,17053002,30:05:2017,53676.073,14:54:36.073,-03,MarkRounding,6,
FRA,17053002,30:05:2017,53769.451,14:56:09.451,-03,CrossedFinish,,
FRA,17053002,30:05:2017,53769.451,14:56:09.451,-03,Finished,,
,17053002,30:05:2017,53779.056,14:56:19.056,-03,RaceTerminated,,
,17053003,30:05:2017,53814.480,14:56:54.480,-03,RaceChanged,,
,17053003,30:05:2017,53814.505,14:56:54.504,-03,RaceStartTimeAnnounced,30:05:2017,15:06
PRO,0,30:05:2017,54040.558,15:00:40.557,-03,Message,AllGroups,SWE port
PRO,0,30:05:2017,54043.577,15:00:43.576,-03,Message,AllGroups,GBR stbd
PRO,0,30:05:2017,54045.417,15:00:45.416,-03,Message,AllGroups,Course 5-MP
PRO,0,30:05:2017,54051.852,15:00:51.851,-03,Message,AllGroups,Axis 295
PRO,0,30:05:2017,54057.620,15:00:57.619,-03,Message,AllGroups,Length 1.3nm
