Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
JPN,17052809,28:05:2017,54233.253,15:03:53.253,-03,BeginEntry,,
JPN,17052809,28:05:2017,54236.074,15:03:56.074,-03,CompleteEntry,,
NZL,17052809,28:05:2017,54242.678,15:04:02.678,-03,BeginEntry,,
NZL,17052809,28:05:2017,54245.538,15:04:05.538,-03,CompleteEntry,,
,17052809,28:05:2017,54360.000,15:06:00.000,-03,RaceStarted,,
NZL,17052809,28:05:2017,54360.835,15:06:00.835,-03,BoatStarted,,
JPN,17052809,28:05:2017,54362.066,15:06:02.066,-03,BoatStarted,,
,17052809,28:05:2017,54393.924,15:06:33.924,-03,RaceChanged,,
JPN,17052809,28:05:2017,54404.543,15:06:44.543,-03,MarkRounding,1,
NZL,17052809,28:05:2017,54407.249,15:06:47.249,-03,MarkRounding,1,
JPN,17052809,28:05:2017,54479.848,15:07:59.848,-03,MarkRounding,2,
NZL,17052809,28:05:2017,54483.632,15:08:03.632,-03,MarkRounding,2,
JPN,17052809,28:05:2017,54757.546,15:12:37.546,-03,MarkRounding,3,
NZL,17052809,28:05:2017,54760.551,15:12:40.551,-03,MarkRounding,3,
JPN,17052809,28:05:2017,54920.729,15:15:20.729,-03,MarkRounding,4,
NZL,17052809,28:05:2017,54933.330,15:15:33.330,-03,MarkRounding,4,
,17052809,28:05:2017,54976.090,15:16:16.090,-03,RaceChanged,,
NZL,17052809,28:05:2017,55210.178,15:20:10.178,-03,MarkRounding,5,
JPN,17052809,28:05:2017,55227.324,15:20:27.324,-03,MarkRounding,5,
NZL,17052809,28:05:2017,55390.494,15:23:10.494,-03,MarkRounding,6,
JPN,17052809,28:05:2017,55403.565,15:23:23.565,-03,MarkRounding,6,
NZL,17052809,28:05:2017,55461.554,15:24:21.554,-03,CrossedFinish,,
NZL,17052809,28:05:2017,55461.554,15:24:21.554,-03,Finished,,
JPN,17052809,28:05:2017,55494.794,15:24:54.794,-03,CrossedFinish,,
JPN,17052809,28:05:2017,55494.794,15:24:54.794,-03,Finished,,
,17052809,28:05:2017,55501.987,15:25:01.987,-03,RaceTerminated,,
,17052810,28:05:2017,55540.611,15:25:40.611,-03,RaceChanged,,
,17052810,28:05:2017,55540.640,15:25:40.639,-03,RaceStartTimeAnnounced,28:05:2017,15:35
