Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
NZL,17052811,28:05:2017,57769.239,16:02:49.239,-03,BeginEntry,,
NZL,17052811,28:05:2017,57770.004,16:02:50.004,-03,EarlyEntry,,
NZL,17052811,28:05:2017,57773.861,16:02:53.861,-03,OCS,,
NZL,17052811,28:05:2017,57784.374,16:03:04.374,-03,CompleteEntry,,
GBR,17052811,28:05:2017,57785.530,16:03:05.530,-03,BeginEntry,,
GBR,17052811,28:05:2017,57787.971,16:03:07.971,-03,CompleteEntry,,
GBR,17052811,28:05:2017,57794.822,16:03:14.822,-03,YFlag,,
GBR,17052811,28:05:2017,57800.100,16:03:20.100,-03,NoPenalty,,
,17052811,28:05:2017,57900.000,16:05:00.000,-03,RaceStarted,,
GBR,17052811,28:05:2017,57901.805,16:05:01.805,-03,BoatStarted,,
NZL,17052811,28:05:2017,57904.498,16:05:04.498,-03,OCSCleared,,
NZL,17052811,28:05:2017,57905.417,16:05:05.417,-03,OCSCleared,,
NZL,17052811,28:05:2017,57906.690,16:05:06.690,-03,BoatStarted,,
,17052811,28:05:2017,57938.690,16:05:38.690,-03,RaceChanged,,
GBR,17052811,28:05:2017,57950.452,16:05:50.452,-03,MarkRounding,1,
NZL,17052811,28:05:2017,57955.423,16:05:55.423,-03,MarkRounding,1,
NZL,17052811,28:05:2017,58029.634,16:07:09.634,-03,MarkRounding,2,
GBR,17052811,28:05:2017,58031.666,16:07:11.666,-03,MarkRounding,2,
NZL,17052811,28:05:2017,58285.766,16:11:25.766,-03,MarkRounding,3,
GBR,17052811,28:05:2017,58294.510,16:11:34.510,-03,MarkRounding,3,
NZL,17052811,28:05:2017,58428.549,16:13:48.549,-03,MarkRounding,4,
GBR,17052811,28:05:2017,58477.236,16:14:37.236,-03,MarkRounding,4,
,17052811,28:05:2017,58519.598,16:15:19.598,-03,RaceChanged,,
NZL,17052811,28:05:2017,58690.255,16:18:10.255,-03,MarkRounding,5,
GBR,17052811,28:05:2017,58758.276,16:19:18.276,-03,MarkRounding,5,
NZL,17052811,28:05:2017,58829.245,16:20:29.245,-03,MarkRounding,6,
NZL,17052811,28:05:2017,58905.567,16:21:45.567,-03,CrossedFinish,,
NZL,17052811,28:05:2017,58905.567,16:21:45.567,-03,Finished,,
GBR,17052811,28:05:2017,58917.886,16:21:57.886,-03,MarkRounding,6,
GBR,17052811,28:05:2017,58993.139,16:23:13.139,-03,CrossedFinish,,
GBR,17052811,28:05:2017,58993.139,16:23:13.139,-03,Finished,,
,17052811,28:05:2017,59008.859,16:23:28.859,-03,RaceTerminated,,
