Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
JPN,17052812,28:05:2017,59514.098,16:31:54.098,-03,BeginEntry,,
JPN,17052812,28:05:2017,59517.618,16:31:57.618,-03,CompleteEntry,,
USA,17052812,28:05:2017,59524.643,16:32:04.643,-03,BeginEntry,,
USA,17052812,28:05:2017,59527.361,16:32:07.361,-03,CompleteEntry,,
,17052812,28:05:2017,59640.000,16:34:00.000,-03,RaceStarted,,
USA,17052812,28:05:2017,59640.527,16:34:00.527,-03,BoatStarted,,
JPN,17052812,28:05:2017,59641.168,16:34:01.168,-03,BoatStarted,,
,17052812,28:05:2017,59662.573,16:34:22.573,-03,RaceChanged,,
USA,17052812,28:05:2017,59693.322,16:34:53.322,-03,MarkRounding,1,
JPN,17052812,28:05:2017,59702.897,16:35:02.897,-03,MarkRounding,1,
USA,17052812,28:05:2017,59778.089,16:36:18.089,-03,MarkRounding,2,
JPN,17052812,28:05:2017,59784.788,16:36:24.788,-03,MarkRounding,2,
USA,17052812,28:05:2017,60061.193,16:41:01.193,-03,MarkRounding,3,
JPN,17052812,28:05:2017,60134.578,16:42:14.578,-03,MarkRounding,3,
USA,17052812,28:05:2017,60239.273,16:43:59.273,-03,MarkRounding,4,
JPN,17052812,28:05:2017,60308.559,16:45:08.559,-03,MarkRounding,4,
,17052812,28:05:2017,60373.000,16:46:13.000,-03,RaceChanged,,
,17052812,28:05:2017,60439.401,16:47:19.401,-03,RaceChanged,,
USA,17052812,28:05:2017,60512.265,16:48:32.265,-03,MarkRounding,5,
JPN,17052812,28:05:2017,60560.353,16:49:20.353,-03,MarkRounding,5,
USA,17052812,28:05:2017,60669.909,16:51:09.909,-03,MarkRounding,6,
JPN,17052812,28:05:2017,60718.563,16:51:58.563,-03,MarkRounding,6,
USA,17052812,28:05:2017,60739.540,16:52:19.540,-03,CrossedFinish,,
USA,17052812,28:05:2017,60739.540,16:52:19.540,-03,Finished,,
JPN,17052812,28:05:2017,60793.576,16:53:13.576,-03,CrossedFinish,,
JPN,17052812,28:05:2017,60793.576,16:53:13.576,-03,Finished,,
,17052812,28:05:2017,60797.572,16:53:17.572,-03,RaceTerminated,,
