Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
USA,17052810,28:05:2017,55975.417,15:32:55.417,-03,BeginEntry,,
USA,17052810,28:05:2017,55978.170,15:32:58.170,-03,CompleteEntry,,
SWE,17052810,28:05:2017,55982.243,15:33:02.243,-03,BeginEntry,,
SWE,17052810,28:05:2017,55985.441,15:33:05.441,-03,CompleteEntry,,
SWE,17052810,28:05:2017,56092.575,15:34:52.575,-03,YFlag,,
SWE,17052810,28:05:2017,56098.980,15:34:58.980,-03,NoPenalty,,
,17052810,28:05:2017,56100.000,15:35:00.000,-03,RaceStarted,,
SWE,17052810,28:05:2017,56111.943,15:35:11.943,-03,BoatStarted,,
USA,17052810,28:05:2017,56115.887,15:35:15.887,-03,BoatStarted,,
,17052810,28:05:2017,56150.258,15:35:50.258,-03,RaceChanged,,
SWE,17052810,28:05:2017,56157.547,15:35:57.547,-03,MarkRounding,1,
USA,17052810,28:05:2017,56161.669,15:36:01.669,-03,MarkRounding,1,
SWE,17052810,28:05:2017,56232.671,15:37:12.671,-03,MarkRounding,2,
USA,17052810,28:05:2017,56236.633,15:37:16.633,-03,MarkRounding,2,
SWE,17052810,28:05:2017,56533.451,15:42:13.451,-03,MarkRounding,3,
USA,17052810,28:05:2017,56552.298,15:42:32.298,-03,MarkRounding,3,
SWE,17052810,28:05:2017,56700.017,15:45:00.017,-03,MarkRounding,4,
USA,17052810,28:05:2017,56723.623,15:45:23.623,-03,MarkRounding,4,
,17052810,28:05:2017,56941.735,15:49:01.735,-03,RaceChanged,,
SWE,17052810,28:05:2017,56994.003,15:49:54.003,-03,MarkRounding,5,
USA,17052810,28:05:2017,57009.055,15:50:09.055,-03,MarkRounding,5,
NZL,0,28:05:2017,57133.622,15:52:13.622,-03,YFlag,,
NZL,0,28:05:2017,57135.125,15:52:15.125,-03,BFlag,,
NZL,0,28:05:2017,57144.945,15:52:24.945,-03,YFlag,,
NZL,0,28:05:2017,57146.748,15:52:26.748,-03,BFlag,,
SWE,17052810,28:05:2017,57167.756,15:52:47.756,-03,MarkRounding,6,
USA,17052810,28:05:2017,57208.613,15:53:28.613,-03,MarkRounding,6,
SWE,17052810,28:05:2017,57241.107,15:54:01.107,-03,CrossedFinish,,
SWE,17052810,28:05:2017,57241.107,15:54:01.107,-03,Finished,,
USA,17052810,28:05:2017,57280.101,15:54:40.101,-03,CrossedFinish,,
USA,17052810,28:05:2017,57280.101,15:54:40.101,-03,Finished,,
,17052810,28:05:2017,57284.587,15:54:44.587,-03,RaceTerminated,,
,17052811,28:05:2017,57308.819,15:55:08.819,-03,RaceChanged,,
,17052811,28:05:2017,57308.832,15:55:08.832,-03,RaceStartTimeAnnounced,28:05:2017,16:05
