Boat,Race,Date,Secs,LocalTime,Zone,Event,Opt1,Opt2
PRO,0,27:05:2017,52328.099,14:32:08.099,-03,Message,AllGroups,Axis 250
PRO,0,27:05:2017,52335.828,14:32:15.828,-03,Message,AllGroups,Length 1.3nm
PRO,0,27:05:2017,52357.580,14:32:37.579,-03,Message,AllGroups,M1-bound 470M
SWE,17052702,27:05:2017,52496.054,14:34:56.054,-03,BeginEntry,,
SWE,17052702,27:05:2017,52497.873,14:34:57.873,-03,CompleteEntry,,
JPN,17052702,27:05:2017,52504.487,14:35:04.487,-03,BeginEntry,,
JPN,17052702,27:05:2017,52507.089,14:35:07.089,-03,CompleteEntry,,
,17052702,27:05:2017,52620.000,14:37:00.000,-03,RaceStarted,,
SWE,17052702,27:05:2017,52620.349,14:37:00.349,-03,BoatStarted,,
JPN,17052702,27:05:2017,52620.786,14:37:00.786,-03,BoatStarted,,
JPN,17052702,27:05:2017,52660.777,14:37:40.777,-03,MarkRounding,1,
SWE,17052702,27:05:2017,52664.467,14:37:44.467,-03,MarkRounding,1,
,17052702,27:05:2017,52666.658,14:37:46.658,-03,RaceChanged,,
JPN,17052702,27:05:2017,52730.826,14:38:50.826,-03,MarkRounding,2,
SWE,17052702,27:05:2017,52743.027,14:39:03.027,-03,MarkRounding,2,
JPN,17052702,27:05:2017,53040.037,14:44:00.037,-03,MarkRounding,3,
SWE,17052702,27:05:2017,53050.972,14:44:10.972,-03,MarkRounding,3,
JPN,17052702,27:05:2017,53218.581,14:46:58.581,-03,MarkRounding,4,
SWE,17052702,27:05:2017,53235.882,14:47:15.882,-03,MarkRounding,4,
SWE,17052702,27:05:2017,53381.684,14:49:41.684,-03,YFlag,,
SWE,17052702,27:05:2017,53388.497,14:49:48.497,-03,YFlag,,
SWE,17052702,27:05:2017,53399.177,14:49:59.177,-03,NoPenalty,,
SWE,17052702,27:05:2017,53401.013,14:50:01.013,-03,NoPenalty,,
,17052702,27:05:2017,53475.602,14:51:15.602,-03,RaceChanged,,
SWE,17052702,27:05:2017,53538.424,14:52:18.424,-03,MarkRounding,5,
JPN,17052702,27:05:2017,53556.923,14:52:36.923,-03,MarkRounding,5,
SWE,17052702,27:05:2017,53659.079,14:54:19.079,-03,MarkRounding,6,
JPN,17052702,27:05:2017,53676.973,14:54:36.973,-03,MarkRounding,6,
SWE,17052702,27:05:2017,53754.761,14:55:54.761,-03,CrossedFinish,,
SWE,17052702,27:05:2017,53754.761,14:55:54.761,-03,Finished,,
JPN,17052702,27:05:2017,53768.161,14:56:08.161,-03,CrossedFinish,,
JPN,17052702,27:05:2017,53768.161,14:56:08.161,-03,Finished,,
,17052702,27:05:2017,53784.546,14:56:24.546,-03,RaceTerminated,,
