170527,"USA, FRA","SWE, JPN","FRA, NZL","GBR, SWE","USA, NZL","GBR, JPN"
170528,"SWE, FRA","USA, GBR","JPN, NZL","USA, SWE","NZL, GBR","JPN, USA"
170529,"GBR, FRA","SWE, NZL","FRA, JPN",,,
170530,"NZL, SWE","FRA, USA","SWE, GBR",,,
170531,,,,,,
170601,,,,,,
